agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.93,0,1246,7.93,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.93,0,1246,7.93,12442,12442,0,0,250,0,1,1,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,375432465793906973,1,0.4,0,0,0,0,0,0
0,42,42,0,100.0,8.29,0,1032,8.29,1238.087908831838,10422.38,0,0,248,42,0,0,0,0,42,42,0,100.0,8.29,0,1032,8.29,1238.087908831838,10422.38,0,0,248,1.0,1,2,0,0,0,1,73,80,1.0,0.19,-0.2,20.19,0.0,-0.16,0.98,2.48,3.44,-1.0,-0.92,1.19,3.61,50.11,-0.02,18,208,3,0,2,0.96,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,2,13576,7808,0.139,1,73,0,0,0,0,80,1.0,0.19,-0.2,20.19,0.0,-0.16,0.98,2.48,3.44,-1.0,-0.92,1.19,3.61,50.11,-0.02,18,208,3,0,0,0,0,375432465793906973,2,0.96,1,28,0,0,0,25
0,16,17,1,100.0,8.82,1,942,8.82,-286.0196116292295,9593.38,0,0,246,16,0,0,0,0,16,17,1,100.0,8.82,1,942,8.82,-286.0196116292295,9593.38,0,0,246,1.0,1,2,0,0,0,0,64,82.14,2.0,1.35,-0.08,8.9,0.0,0.0,0.98,2.47,3.42,-1.0,-0.84,1.12,3.61,50.23,-0.05,17,191,3,0,2,1.05,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,2,5000,7394,0.139,0,64,0,0,0,0,82.14,2.0,1.35,-0.08,8.9,0.0,0.0,0.98,2.47,3.42,-1.0,-0.84,1.12,3.61,50.23,-0.05,17,191,3,0,0,0,0,375432465793906973,2,1.05,2,23,0,0,0,22
0,7,8,1,100.0,8.89,1,912,8.89,-222.20945490587295,9099.1,0,0,243,7,0,0,0,0,7,8,1,100.0,8.89,1,912,8.89,-222.20945490587295,9099.1,0,0,243,1.0,1,2,0,0,0,2,62,82.48,3.0,2.38,-0.04,4.37,0.0,0.07,0.98,2.49,3.44,-1.0,-0.78,1.45,3.58,49.72,-0.09,13,183,3,0,2,1.09,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,0,0,1,2,5000,7200,0.15,2,62,0,0,0,0,82.48,3.0,2.38,-0.04,4.37,0.0,0.07,0.98,2.49,3.44,-1.0,-0.78,1.45,3.58,49.72,-0.09,13,183,3,0,0,0,0,375432465793906973,2,1.09,3,18,0,0,0,15
0,8,10,1,100.0,9.03,2,860,9.03,-237.15503359973414,8486.56,0,0,240,8,0,0,0,0,8,10,1,100.0,9.03,2,860,9.03,-237.15503359973414,8486.56,0,0,240,1.0,1,2,0,0,0,0,58,80.48,4.0,3.2,-0.05,5.78,0.0,0.13,0.98,2.49,3.44,-1.0,-0.7,1.32,3.57,49.06,-0.09,9.01,173,3,0,2,1.16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,2,5000,7166,0.167,0,58,0,0,0,0,80.48,4.0,3.2,-0.05,5.78,0.0,0.13,0.98,2.49,3.44,-1.0,-0.7,1.32,3.57,49.06,-0.09,9.01,173,3,0,0,0,0,375432465793906973,2,1.16,4,20,0,0,0,19
0,11,13,0,100.0,9.25,2,791,9.25,-209.20476196090314,7768.75,0,0,236,11,0,0,0,0,11,13,0,100.0,9.25,2,791,9.25,-209.20476196090314,7768.75,0,0,236,1.0,1,3,0,0,0,1,57,82.05,5.0,4.23,-0.07,8.12,0.0,0.22,0.96,2.47,3.42,-1.0,-0.64,1.4,3.57,48.55,-0.03,5.01,160,3,0,3,1.88,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,3,5000,7219,0.187,1,57,0,0,0,0,82.05,5.0,4.23,-0.07,8.12,0.0,0.22,0.96,2.47,3.42,-1.0,-0.64,1.4,3.57,48.55,-0.03,5.01,160,3,0,0,0,0,375432465793906973,3,1.88,5,15,0,0,0,15
0,6,10,0,100.0,9.36,4,734,9.36,-171.62833524777642,7329.85,0,0,232,6,0,0,0,0,6,10,0,100.0,9.36,4,734,9.36,-171.62833524777642,7329.85,0,0,232,1.0,1,4,0,0,0,1,57,84.95,6.0,5.0,-0.04,6.67,0.0,0.33,0.95,2.45,3.41,-1.0,-0.58,1.15,3.58,48.87,0.01,8,150,3,0,4,2.67,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,4,5000,7255,0.193,1,57,0,0,0,0,84.95,6.0,5.0,-0.04,6.67,0.0,0.33,0.95,2.45,3.41,-1.0,-0.58,1.15,3.58,48.87,0.01,8,150,3,0,0,0,0,375432465793906973,4,2.67,6,13,0,0,0,13
0,9,15,0,100.0,9.74,6,647,9.74,-166.63071199316477,6643.14,0,0,228,9,0,0,0,0,9,15,0,100.0,9.74,6,647,9.74,-166.63071199316477,6643.14,0,0,228,1.0,1,5,0,0,0,1,56,88.95,7.0,6.07,-0.07,11.11,0.0,0.39,0.93,2.4,3.39,-1.0,-0.53,1.19,3.55,49.21,0.06,4.75,135,3,0,5,3.7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,5,5000,7327,0.205,1,56,0,0,0,0,88.95,7.0,6.07,-0.07,11.11,0.0,0.39,0.93,2.4,3.39,-1.0,-0.53,1.19,3.55,49.21,0.06,4.75,135,3,0,0,0,0,375432465793906973,5,3.7,7,13,0,0,0,13
0,7,10,1,100.0,10.05,3,588,10.05,-162.77307308962452,6224.47,0,0,223,7,0,0,0,0,7,10,1,100.0,10.05,3,588,10.05,-162.77307308962452,6224.47,0,0,223,1.0,1,5,0,0,0,1,53,92.95,8.0,7.3,-0.06,8.0,0.0,0.42,0.92,2.35,3.34,-1.0,-0.5,1.16,3.56,49.8,0.06,5.61,125,3,0,5,4.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,5,5000,7408,0.218,1,53,0,0,0,0,92.95,8.0,7.3,-0.06,8.0,0.0,0.42,0.92,2.35,3.34,-1.0,-0.5,1.16,3.56,49.8,0.06,5.61,125,3,0,0,0,0,375432465793906973,5,4.0,8,9,0,0,0,9
0,4,12,3,100.0,10.66,8,523,10.66,-95.27982620813277,5822.46,0,0,218,4,0,0,0,0,4,12,3,100.0,10.66,8,523,10.66,-95.27982620813277,5822.46,0,0,218,0,0,3,0,0,0,1,50,95.95,9.0,8.08,-0.04,10.62,0.0,0.62,0.95,2.31,3.4,-1.0,-0.43,1.11,3.56,51.53,0.14,2.59,113,3,0,3,2.65,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5000,7470,0.217,1,50,0,0,0,0,95.95,9.0,8.08,-0.04,10.62,0.0,0.62,0.95,2.31,3.4,-1.0,-0.43,1.11,3.56,51.53,0.14,2.59,113,3,0,0,0,0,375432465793906973,3,2.65,9,9,0,0,0,9
0,4,7,1,100.0,10.91,3,486,10.91,-57.95352979857692,5498.68,0,0,213,4,0,0,0,0,4,7,1,100.0,10.91,3,486,10.91,-57.95352979857692,5498.68,0,0,213,1.0,1,3,0,0,0,1,48,99.95,10.0,9.14,-0.04,6.6,0.0,0.58,0.94,2.29,3.46,-1.0,-0.37,1.16,3.51,51.87,0.05,5.34,106,3,0,3,2.83,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,3,5000,7538,0.23,1,48,0,0,0,0,99.95,10.0,9.14,-0.04,6.6,0.0,0.58,0.94,2.29,3.46,-1.0,-0.37,1.16,3.51,51.87,0.05,5.34,106,3,0,0,0,0,375432465793906973,3,2.83,10,9,0,0,0,9
