agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,diseaseEffectiveReproductionRate,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,seed,sickAgents,sickAgentsPercentage,timestep,tradeVolume
0,0,0,0,100.0,7.94,0,1246,7.94,12442,12442,0,0,250,0,0,0,0,8576,0.132,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,8412927684506142269,0,0.0,0,0
0,33,33,0,100.0,8.56,0,1087,8.56,1043.5101894492602,10873.2,0,0,249,0,0,0,13576,7741,0.138,1,79,80,1.0,0.09,-0.15,15.21,0.0,-0.07,1.0,2.5,3.45,-1.0,-0.91,1.18,3.54,50.11,-0.01,17,217,3,8412927684506142269,0,0.0,1,41
0,21,21,0,100.0,8.76,0,977,8.76,-277.0197090651259,9808.69,0,0,247,0,0,0,5000,7340,0.147,1,70,80,2.0,1.14,-0.11,10.71,0.0,-0.02,1.0,2.49,3.42,-1.0,-0.84,1.2,3.48,50.04,-0.07,13,196,3,8412927684506142269,0,0.0,2,24
0,15,17,0,100.0,8.94,2,883,8.94,-224.26947477602954,8936.49,0,0,244,0,0,0,5000,7192,0.153,1,70,80.62,3.0,2.24,-0.08,9.5,0.0,0.01,1.0,2.47,3.39,-1.0,-0.78,1.38,3.47,49.92,-0.12,8,179,3,8412927684506142269,0,0.0,3,11
0,16,17,0,100.0,9.35,1,800,9.35,-195.52289773473365,8128.65,0,0,240,0,0,0,5000,7221,0.164,1,65,84.62,4.0,3.18,-0.1,10.49,0.0,0.15,1.0,2.47,3.41,-1.0,-0.71,1.26,3.48,50.18,-0.04,2,162,3,8412927684506142269,0,0.0,4,14
0,13,19,0,100.0,9.65,6,702,9.65,-154.25240697411093,7296.71,0,0,236,0,0,0,5000,7295,0.168,1,59,88.62,5.0,4.16,-0.08,13.29,0.0,0.29,1.0,2.45,3.41,-1.0,-0.66,1.15,3.47,51.03,0.03,9,143,3,8412927684506142269,0,0.0,5,10
0,4,8,0,100.0,9.85,4,655,9.85,-95.86644858267248,6942.01,0,0,231,0,0,0,5000,7345,0.18,1,59,92.62,6.0,5.12,-0.03,5.93,0.0,0.43,1.0,2.43,3.36,-1.0,-0.58,1.35,3.44,51.42,0.04,10.68,135,3,8412927684506142269,0,0.0,6,8
0,7,9,0,100.0,10.06,2,611,10.06,-95.780381880265,6530.93,0,0,226,0,0,0,5000,7432,0.192,1,51,96.62,7.0,6.11,-0.06,7.14,0.0,0.49,1.0,2.42,3.35,-1.0,-0.5,1.24,3.47,51.83,0.04,8,126,3,8412927684506142269,0,0.0,7,16
0,8,12,0,100.0,10.68,4,543,10.68,-71.22981487666478,6112.97,0,0,221,0,0,0,5000,7501,0.191,1,47,100.62,8.0,7.08,-0.07,10.53,0.0,0.64,1.0,2.38,3.36,-1.0,-0.4,1.09,3.49,53.62,0.11,14.62,114,3,8412927684506142269,0,0.0,8,10
0,6,10,0,100.0,11.1,4,486,11.1,-41.3319484896261,5697.23,0,0,216,0,0,0,5000,7568,0.196,1,43,104.62,9.0,8.1,-0.06,9.62,0.0,0.72,1.0,2.34,3.35,-1.0,-0.3,1.5,3.56,54.78,0.08,12.49,104,3,8412927684506142269,0,0.0,9,14
