agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.94,0,1246,7.94,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.94,0,1246,7.94,12442,12442,0,0,250,0,0,0,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,7000236900699874075,0,0.0,0,0,0,0,0,0
0,35,35,0,100.0,8.22,0,1073,8.22,983.8372218536713,10703.02,0,0,249,35,0,0,0,0,35,35,0,100.0,8.22,0,1073,8.22,983.8372218536713,10703.02,0,0,249,0,0,0,0,0,0,0,72,79.71,1.0,0.2,-0.16,16.28,0.0,-0.13,1.0,2.5,3.51,-1.0,-0.91,1.14,3.59,49.78,-0.05,17.94,215,3,0,0,0.0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13576,7771,0.144,0,72,0,0,0,0,79.71,1.0,0.2,-0.16,16.28,0.0,-0.13,1.0,2.5,3.51,-1.0,-0.91,1.14,3.59,49.78,-0.05,17.94,215,3,0,0,0,0,7000236900699874075,0,0.0,1,27,0,0,0,24
0,22,22,0,100.0,8.28,0,969,8.28,-289.2531173872269,9597.65,0,0,247,22,0,0,0,0,22,22,0,100.0,8.28,0,969,8.28,-289.2531173872269,9597.65,0,0,247,0,0,0,0,0,0,0,69,81.71,2.0,1.23,-0.11,11.4,0.0,-0.03,1.0,2.51,3.5,-1.0,-0.86,1.34,3.62,49.73,-0.06,15,193,3,0,0,0.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7374,0.151,0,69,0,0,0,0,81.71,2.0,1.23,-0.11,11.4,0.0,-0.03,1.0,2.51,3.5,-1.0,-0.86,1.34,3.62,49.73,-0.06,15,193,3,0,0,0,0,7000236900699874075,0,0.0,2,17,0,0,0,15
0,14,14,0,100.0,8.39,0,897,8.39,-240.55697277553878,8806.88,0,0,244,14,0,0,0,0,14,14,0,100.0,8.39,0,897,8.39,-240.55697277553878,8806.88,0,0,244,0,0,0,0,0,0,0,68,83.71,3.0,2.36,-0.08,7.82,0.0,0.04,1.0,2.51,3.47,-1.0,-0.79,1.18,3.61,49.2,-0.09,15,179,3,0,0,0.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7209,0.164,0,68,0,0,0,0,83.71,3.0,2.36,-0.08,7.82,0.0,0.04,1.0,2.51,3.47,-1.0,-0.79,1.18,3.61,49.2,-0.09,15,179,3,0,0,0,0,7000236900699874075,0,0.0,3,15,0,0,0,15
0,10,14,0,100.0,8.75,4,825,8.75,-205.6132475962704,8086.91,0,0,241,10,0,0,0,0,10,14,0,100.0,8.75,4,825,8.75,-205.6132475962704,8086.91,0,0,241,0,0,0,0,0,0,0,63,85.71,4.0,3.21,-0.06,8.48,0.0,0.18,1.0,2.5,3.48,-1.0,-0.72,1.21,3.55,49.01,-0.03,12,165,3,0,0,0.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7185,0.18,0,63,0,0,0,0,85.71,4.0,3.21,-0.06,8.48,0.0,0.18,1.0,2.5,3.48,-1.0,-0.72,1.21,3.55,49.01,-0.03,12,165,3,0,0,0,0,7000236900699874075,0,0.0,4,14,0,0,0,13
0,9,11,0,100.0,9.07,2,768,9.07,-168.04024342770887,7568.97,0,0,237,9,0,0,0,0,9,11,0,100.0,9.07,2,768,9.07,-168.04024342770887,7568.97,0,0,237,0,0,0,0,0,0,0,59,88.71,5.0,4.09,-0.06,7.14,0.0,0.28,1.0,2.49,3.47,-1.0,-0.66,1.31,3.56,49.15,0.01,8.87,154,3,0,0,0.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7246,0.191,0,59,0,0,0,0,88.71,5.0,4.09,-0.06,7.14,0.0,0.28,1.0,2.49,3.47,-1.0,-0.66,1.31,3.56,49.15,0.01,8.87,154,3,0,0,0,0,7000236900699874075,0,0.0,5,21,0,0,0,21
0,8,11,0,100.0,9.25,3,711,9.25,-144.46820037121,7057.59,0,0,233,8,0,0,0,0,8,11,0,100.0,9.25,3,711,9.25,-144.46820037121,7057.59,0,0,233,0,0,0,0,0,0,1,55,91.71,6.0,5.18,-0.06,7.69,0.0,0.37,1.0,2.49,3.5,-1.0,-0.63,1.17,3.57,49.35,0.05,5.87,143,3,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7304,0.207,1,55,0,0,0,0,91.71,6.0,5.18,-0.06,7.69,0.0,0.37,1.0,2.49,3.5,-1.0,-0.63,1.17,3.57,49.35,0.05,5.87,143,3,0,0,0,0,7000236900699874075,0,0.0,6,7,0,0,0,7
0,3,10,0,100.0,9.56,7,653,9.56,-96.66043093395146,6707.86,0,0,228,3,0,0,0,0,3,10,0,100.0,9.56,7,653,9.56,-96.66043093395146,6707.86,0,0,228,0,0,0,0,0,0,1,58,94.71,7.0,6.0,-0.02,7.52,0.0,0.48,1.0,2.45,3.46,-1.0,-0.54,1.12,3.67,50.44,0.05,10,133,3,0,0,0.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7340,0.204,1,58,0,0,0,0,94.71,7.0,6.0,-0.02,7.52,0.0,0.48,1.0,2.45,3.46,-1.0,-0.54,1.12,3.67,50.44,0.05,10,133,3,0,0,0,0,7000236900699874075,0,0.0,7,11,0,0,0,11
0,3,10,0,100.0,10.07,7,594,10.07,-64.98304500290342,6378.07,0,0,223,3,0,0,0,0,3,10,0,100.0,10.07,7,594,10.07,-64.98304500290342,6378.07,0,0,223,0,0,0,0,0,0,1,54,97.71,8.0,7.1,-0.02,8.13,0.0,0.53,1.0,2.41,3.44,-1.0,-0.47,1.48,3.72,51.85,0.02,6,123,3,0,0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7378,0.209,1,54,0,0,0,0,97.71,8.0,7.1,-0.02,8.13,0.0,0.53,1.0,2.41,3.44,-1.0,-0.47,1.48,3.72,51.85,0.02,6,123,3,0,0,0,0,7000236900699874075,0,0.0,8,9,0,0,0,9
0,4,8,0,100.0,10.61,4,548,10.61,-47.666997596578994,6098.17,0,0,218,4,0,0,0,0,4,8,0,100.0,10.61,4,548,10.61,-47.666997596578994,6098.17,0,0,218,0,0,0,0,0,0,1,49,100.71,9.0,8.12,-0.03,6.96,0.0,0.57,1.0,2.38,3.49,-1.0,-0.39,1.26,3.63,53.03,-0.01,9,115,3,0,0,0.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7436,0.213,1,49,0,0,0,0,100.71,9.0,8.12,-0.03,6.96,0.0,0.57,1.0,2.38,3.49,-1.0,-0.39,1.26,3.63,53.03,-0.01,9,115,3,0,0,0,0,7000236900699874075,0,0.0,9,18,0,0,0,18
