agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.04,0,1246,7.04,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.04,0,1246,7.04,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,8839166582678520208,50,20.0,0,0,0,0,0,0
0,31,31,8,100.0,6.67,0,1077,6.67,369.3526921288637,10679.11,0,0,249,31,0,0,0,0,31,31,8,100.0,6.67,0,1077,6.67,369.3526921288637,10679.11,0,0,249,1.19,19,60,0,0,0,1,75,79,1.0,0.42,-0.12,14.16,0.0,-0.6,0.56,2.46,3.51,-1.0,-0.92,1.26,3.46,48.76,-0.12,20,219,3,0,54,24.66,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.18,0,0,20,62,13576,7725,0.143,1,75,0,0,0,0,79,1.0,0.42,-0.12,14.16,0.0,-0.6,0.56,2.46,3.51,-1.0,-0.92,1.26,3.46,48.76,-0.12,20,219,3,0,0,0,0,8839166582678520208,54,24.66,1,32,0,0,0,30
0,23,24,6,100.0,6.32,1,957,6.32,-730.5268923396033,9113.65,0,0,247,23,0,0,0,0,23,24,6,100.0,6.32,1,957,6.32,-730.5268923396033,9113.65,0,0,247,1.09,12,64,0,0,0,2,69,92.5,2.0,1.25,-0.08,12.31,0.0,-0.59,0.49,2.45,3.54,-1.0,-0.84,1.45,3.45,46.74,-0.16,7.86,195,3,0,55,28.21,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.08,0,0,13,66,5000,7345,0.169,2,69,0,0,0,0,92.5,2.0,1.25,-0.08,12.31,0.0,-0.59,0.49,2.45,3.54,-1.0,-0.84,1.45,3.45,46.74,-0.16,7.86,195,3,0,0,0,0,8839166582678520208,55,28.21,2,17,0,0,0,16
0,10,23,16,100.0,6.18,13,852,6.18,-810.4152053097035,7758.0,0,0,244,10,0,0,0,0,10,23,16,100.0,6.18,13,852,6.18,-810.4152053097035,7758.0,0,0,244,1.0,6,44,0,0,0,2,63,90.1,3.0,2.09,-0.05,13.37,0.0,-0.36,0.57,2.48,3.6,-1.0,-0.77,1.49,3.41,45.1,-0.11,0.84,172,3,0,41,23.84,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.0,0,0,6,46,5000,7202,0.2,2,63,0,0,0,0,90.1,3.0,2.09,-0.05,13.37,0.0,-0.36,0.57,2.48,3.6,-1.0,-0.77,1.49,3.41,45.1,-0.11,0.84,172,3,0,0,0,0,8839166582678520208,41,23.84,3,14,0,0,0,13
0,12,31,19,100.0,6.71,19,697,6.71,-681.8980308379777,6481.9,0,0,239,12,0,0,0,0,12,31,19,100.0,6.71,19,697,6.71,-681.8980308379777,6481.9,0,0,239,0,0,18,0,0,0,2,51,89.99,4.0,3.1,-0.09,21.99,0.0,-0.1,0.72,2.47,3.58,-1.0,-0.75,1.34,3.39,45.97,0.02,8.73,141,3,0,20,14.18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,5000,7268,0.2,2,51,0,0,0,0,89.99,4.0,3.1,-0.09,21.99,0.0,-0.1,0.72,2.47,3.58,-1.0,-0.75,1.34,3.39,45.97,0.02,8.73,141,3,0,0,0,0,8839166582678520208,20,14.18,4,12,0,0,0,10
0,7,16,11,100.0,7.08,9,620,7.08,-356.0999855469737,5817.47,0,0,234,7,0,0,0,0,7,16,11,100.0,7.08,9,620,7.08,-356.0999855469737,5817.47,0,0,234,0,0,7,0,0,0,2,45,90.99,5.0,4.0,-0.06,12.8,0.0,0.11,0.87,2.48,3.59,-1.0,-0.72,2.28,3.45,46.54,0.02,2,125,3,0,8,6.4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5000,7394,0.208,2,45,0,0,0,0,90.99,5.0,4.0,-0.06,12.8,0.0,0.11,0.87,2.48,3.59,-1.0,-0.72,2.28,3.45,46.54,0.02,2,125,3,0,0,0,0,8839166582678520208,8,6.4,5,6,0,0,0,6
0,1,10,4,100.0,7.75,9,562,7.75,-196.63421302578618,5480.92,0,0,229,1,0,0,0,0,1,10,4,100.0,7.75,9,562,7.75,-196.63421302578618,5480.92,0,0,229,1.0,1,3,0,0,0,1,40,91.99,6.0,5.0,-0.01,8.7,0.0,0.4,0.97,2.44,3.53,-1.0,-0.64,1.42,3.44,47.66,0.08,9,115,3,0,3,2.61,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,3,5000,7463,0.201,1,40,0,0,0,0,91.99,6.0,5.0,-0.01,8.7,0.0,0.4,0.97,2.44,3.53,-1.0,-0.64,1.42,3.44,47.66,0.08,9,115,3,0,0,0,0,8839166582678520208,3,2.61,6,13,0,0,0,13
0,4,13,1,100.0,8.58,9,499,8.58,-136.64079339760352,5046.66,0,0,223,4,0,0,0,0,4,13,1,100.0,8.58,9,499,8.58,-136.64079339760352,5046.66,0,0,223,1.0,1,3,0,0,0,2,37,92.99,7.0,6.08,-0.04,12.75,0.0,0.44,0.96,2.45,3.51,-1.0,-0.6,1.07,3.48,49.48,0.12,6.61,102,3,0,3,2.94,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,3,5000,7530,0.192,2,37,0,0,0,0,92.99,7.0,6.08,-0.04,12.75,0.0,0.44,0.96,2.45,3.51,-1.0,-0.6,1.07,3.48,49.48,0.12,6.61,102,3,0,0,0,0,8839166582678520208,3,2.94,7,8,0,0,0,8
0,0,5,1,100.0,8.8,5,469,8.8,-68.24799197671624,4868.69,0,0,217,0,0,0,0,0,0,5,1,100.0,8.8,5,469,8.8,-68.24799197671624,4868.69,0,0,217,1.0,1,3,0,0,0,2,35,93.99,8.0,7.0,0.0,5.15,0.0,0.46,0.96,2.42,3.57,-1.0,-0.55,1.06,3.48,50.19,0.05,8.1,97,3,0,3,3.09,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,3,5000,7581,0.195,2,35,0,0,0,0,93.99,8.0,7.0,0.0,5.15,0.0,0.46,0.96,2.42,3.57,-1.0,-0.55,1.06,3.48,50.19,0.05,8.1,97,3,0,0,0,0,8839166582678520208,3,3.09,8,4,0,0,0,4
0,1,2,0,100.0,9.08,1,458,9.08,-43.90024907585922,4737.88,0,0,211,1,0,0,0,0,1,2,0,100.0,9.08,1,458,9.08,-43.90024907585922,4737.88,0,0,211,1.0,1,4,0,0,0,2,35,94.99,9.0,8.0,-0.01,2.11,0.0,0.45,0.94,2.41,3.54,-1.0,-0.49,1.28,3.46,49.87,0.01,5.1,95,3,0,4,4.21,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,4,5000,7623,0.214,2,35,0,0,0,0,94.99,9.0,8.0,-0.01,2.11,0.0,0.45,0.94,2.41,3.54,-1.0,-0.49,1.28,3.46,49.87,0.01,5.1,95,3,0,0,0,0,8839166582678520208,4,4.21,9,12,0,0,0,12
0,2,5,0,100.0,9.22,3,438,9.22,-58.45527790404926,4465.83,0,0,205,2,0,0,0,0,2,5,0,100.0,9.22,3,438,9.22,-58.45527790404926,4465.83,0,0,205,0,0,4,0,0,0,1,35,95.99,10.0,9.0,-0.02,5.56,0.0,0.52,0.91,2.43,3.56,-1.0,-0.4,1.48,3.47,49.62,0.03,2.1,90,3,0,4,4.44,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5000,7659,0.233,1,35,0,0,0,0,95.99,10.0,9.0,-0.02,5.56,0.0,0.52,0.91,2.43,3.56,-1.0,-0.4,1.48,3.47,49.62,0.03,2.1,90,3,0,0,0,0,8839166582678520208,4,4.44,10,13,0,0,0,13
0,1,7,1,100.0,9.87,6,398,9.87,-45.634004380599734,4312.76,0,0,199,1,0,0,0,0,1,7,1,100.0,9.87,6,398,9.87,-45.634004380599734,4312.76,0,0,199,0,0,3,0,0,0,1,33,96.99,11.0,10.0,-0.01,8.43,0.0,0.69,0.93,2.4,3.55,-1.0,-0.34,1.03,3.55,51.96,0.11,16,83,3,0,3,3.61,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5000,7689,0.218,1,33,0,0,0,0,96.99,11.0,10.0,-0.01,8.43,0.0,0.69,0.93,2.4,3.55,-1.0,-0.34,1.03,3.55,51.96,0.11,16,83,3,0,0,0,0,8839166582678520208,3,3.61,11,9,0,0,0,9
0,3,7,1,100.0,10.55,4,361,10.55,-27.836200971267164,4054.46,0,0,193,3,0,0,0,0,3,7,1,100.0,10.55,4,361,10.55,-27.836200971267164,4054.46,0,0,193,0,0,2,0,0,0,1,30,97.99,12.0,11.0,-0.04,9.21,0.0,0.72,0.95,2.38,3.58,-1.0,-0.28,1.35,3.53,53.35,0.09,13,76,3,0,2,2.63,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5000,7731,0.224,1,30,0,0,0,0,97.99,12.0,11.0,-0.04,9.21,0.0,0.72,0.95,2.38,3.58,-1.0,-0.28,1.35,3.53,53.35,0.09,13,76,3,0,0,0,0,8839166582678520208,2,2.63,12,10,0,0,0,10
0,2,4,1,100.0,10.76,2,343,10.76,-3.5156436113798897,3893.62,0,0,187,2,0,0,0,0,2,4,1,100.0,10.76,2,343,10.76,-3.5156436113798897,3893.62,0,0,187,0,0,1,0,0,0,1,33,99.73,13.0,12.25,-0.03,5.56,0.0,0.69,0.97,2.38,3.61,-1.0,-0.23,1.05,3.53,54.08,-0.03,10,72,3,0,1,1.39,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7774,0.231,1,33,0,0,0,0,99.73,13.0,12.25,-0.03,5.56,0.0,0.69,0.97,2.38,3.61,-1.0,-0.23,1.05,3.53,54.08,-0.03,10,72,3,0,0,0,0,8839166582678520208,1,1.39,13,8,0,0,0,8
0,0,1,0,100.0,11.01,1,336,11.01,10.312860240473892,3892.22,0,0,182,0,0,0,0,0,0,1,0,100.0,11.01,1,336,11.01,10.312860240473892,3892.22,0,0,182,0,0,1,0,0,0,1,34,102.73,14.0,13.0,0.0,1.41,0.0,0.78,0.97,2.37,3.63,-1.0,-0.17,1.88,3.52,54.82,-0.03,5.74,71,3,0,1,1.41,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7796,0.241,1,34,0,0,0,0,102.73,14.0,13.0,0.0,1.41,0.0,0.78,0.97,2.37,3.63,-1.0,-0.17,1.88,3.52,54.82,-0.03,5.74,71,3,0,0,0,0,8839166582678520208,1,1.41,14,10,0,0,0,10
0,3,6,1,100.0,11.41,3,309,11.41,-21.685240764300417,3661.32,1,0,177,3,0,0,0,0,3,6,1,100.0,11.41,3,309,11.41,-21.685240764300417,3661.32,1,0,177,0,0,0,0,0,0,1,34,105.73,14.79,14.0,-0.05,9.09,0.02,0.9,1.0,2.34,3.68,-1.0,-0.09,1.05,3.56,55.47,0.02,3,66,3,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7828,0.244,1,34,0,0,0,0,105.73,14.79,14.0,-0.05,9.09,0.02,0.9,1.0,2.34,3.68,-1.0,-0.09,1.05,3.56,55.47,0.02,3,66,3,1,0,0,0,8839166582678520208,0,0.0,15,7,0,0,0,7
0,2,4,0,100.0,12.08,2,286,12.08,19.27370437119341,3558.36,0,0,172,2,0,0,0,0,2,4,0,100.0,12.08,2,286,12.08,19.27370437119341,3558.36,0,0,172,0,0,0,0,0,0,1,34,108.73,15.77,15.0,-0.03,6.45,0.02,1.02,1.0,2.31,3.66,-1.0,-0.02,1.02,3.68,57.39,0.06,14.56,62,3,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7879,0.246,1,34,1,0,0,0,108.73,15.77,15.0,-0.03,6.45,0.02,1.02,1.0,2.31,3.66,-1.0,-0.02,1.02,3.68,57.39,0.06,14.56,62,3,0,0,0,0,8839166582678520208,0,0.0,16,3,0,0,0,3
0,1,2,0,100.0,12.5,1,280,12.5,8.297147157279028,3557.96,1,0,167,1,0,0,0,0,1,2,0,100.0,12.5,1,280,12.5,8.297147157279028,3557.96,1,0,167,0,0,0,0,0,0,1,33,111.73,16.51,16.0,-0.02,3.28,0.03,1.13,1.0,2.3,3.66,-1.0,0.02,1.29,3.7,58.33,0.09,11.89,61,3,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7898,0.237,1,33,0,0,0,0,111.73,16.51,16.0,-0.02,3.28,0.03,1.13,1.0,2.3,3.66,-1.0,0.02,1.29,3.7,58.33,0.09,11.89,61,3,1,0,0,0,8839166582678520208,0,0.0,17,7,0,0,0,7
0,3,3,0,100.0,12.93,0,261,12.93,28.59058514820294,3440.72,0,0,162,3,0,0,0,0,3,3,0,100.0,12.93,0,261,12.93,28.59058514820294,3440.72,0,0,162,0,0,0,0,0,0,1,33,114.73,17.48,17.0,-0.05,5.17,0.03,1.13,1.0,2.25,3.66,-1.0,0.01,1.35,3.62,59.32,0.13,10.45,58,3,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7933,0.248,1,33,0,0,0,0,114.73,17.48,17.0,-0.05,5.17,0.03,1.13,1.0,2.25,3.66,-1.0,0.01,1.35,3.62,59.32,0.13,10.45,58,3,0,0,0,0,8839166582678520208,0,0.0,18,4,0,0,0,4
0,3,4,0,100.0,13.95,1,239,13.99,38.07870615224873,3381.58,0,0,157,3,0,0,0,0,3,4,0,100.0,13.95,1,239,13.99,38.07870615224873,3381.58,0,0,157,0,0,0,0,0,0,1,31,117.73,18.44,18.0,-0.06,7.41,0.04,1.19,1.0,2.21,3.65,-1.0,-0.03,1.0,3.67,62.62,0.23,8.45,54,3,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7956,0.238,1,31,0,0,0,0,117.73,18.44,18.0,-0.06,7.41,0.04,1.19,1.0,2.21,3.65,-1.0,-0.03,1.0,3.67,62.62,0.23,8.45,54,3,0,0,0,0,8839166582678520208,0,0.0,19,3,0,0,0,3
