agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.28,0,1246,7.28,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.28,0,1246,7.28,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,1942539816004672234,50,20.0,0,0,0,0,0,0
0,29,29,5,100.0,6.93,0,1107,6.93,402.45411834973993,10731.27,0,0,249,29,0,0,0,0,29,29,5,100.0,6.93,0,1107,6.93,402.45411834973993,10731.27,0,0,249,1.12,9,53,0,0,0,2,78,76,1.0,0.31,-0.11,13.12,0.0,-0.6,0.56,2.5,3.47,-1.0,-0.93,1.12,3.5,48.56,-0.11,16,221,3,0,52,23.53,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1.12,0,0,9,54,13576,7775,0.143,2,78,0,0,0,0,76,1.0,0.31,-0.11,13.12,0.0,-0.6,0.56,2.5,3.47,-1.0,-0.93,1.12,3.5,48.56,-0.11,16,221,3,0,0,0,0,1942539816004672234,52,23.53,1,27,0,0,0,24
0,15,19,6,100.0,6.65,4,1007,6.65,-707.2388702603223,9445.47,0,0,247,15,0,0,0,0,15,19,6,100.0,6.65,4,1007,6.65,-707.2388702603223,9445.47,0,0,247,1.0,7,51,0,0,0,0,71,72,2.0,1.26,-0.05,9.41,0.0,-0.48,0.54,2.49,3.46,-1.0,-0.86,1.39,3.53,46.76,-0.11,5.49,202,3,0,48,23.76,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1.0,0,0,7,52,5000,7342,0.159,0,71,0,0,0,0,72,2.0,1.26,-0.05,9.41,0.0,-0.48,0.54,2.49,3.46,-1.0,-0.86,1.39,3.53,46.76,-0.11,5.49,202,3,0,0,0,0,1942539816004672234,48,23.76,2,20,0,0,0,18
0,10,22,14,100.0,6.94,12,887,6.94,-755.8516206219535,8209.02,0,0,244,10,0,0,0,0,10,22,14,100.0,6.94,12,887,6.94,-755.8516206219535,8209.02,0,0,244,1.0,2,31,0,0,0,0,62,81.4,3.0,2.09,-0.04,12.22,0.0,-0.19,0.67,2.46,3.46,-1.0,-0.79,1.2,3.57,45.61,-0.03,7,180,3,0,31,17.22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0,0,0,2,32,5000,7197,0.176,0,62,0,0,0,0,81.4,3.0,2.09,-0.04,12.22,0.0,-0.19,0.67,2.46,3.46,-1.0,-0.79,1.2,3.57,45.61,-0.03,7,180,3,0,0,0,0,1942539816004672234,31,17.22,3,20,0,0,0,20
0,6,23,14,100.0,7.33,17,764,7.33,-657.6026091396276,7190.31,0,0,240,6,0,0,0,0,6,23,14,100.0,7.33,17,764,7.33,-657.6026091396276,7190.31,0,0,240,1.0,3,18,0,0,0,1,57,83.4,4.0,3.09,-0.04,14.65,0.0,0.08,0.78,2.43,3.42,-1.0,-0.7,1.47,3.62,45.8,0.03,7,157,3,0,17,10.83,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0,0,0,3,18,5000,7201,0.182,1,57,0,0,0,0,83.4,4.0,3.09,-0.04,14.65,0.0,0.08,0.78,2.43,3.42,-1.0,-0.7,1.47,3.62,45.8,0.03,7,157,3,0,0,0,0,1942539816004672234,17,10.83,4,18,0,0,0,18
0,6,18,7,100.0,7.73,12,671,7.73,-406.16927532749344,6353.36,0,0,235,6,0,0,0,0,6,18,7,100.0,7.73,12,671,7.73,-406.16927532749344,6353.36,0,0,235,0,0,8,0,0,0,1,52,83.4,5.0,4.06,-0.04,12.95,0.0,0.26,0.88,2.41,3.44,-1.0,-0.63,1.5,3.56,45.71,0.05,7.76,139,3,0,8,5.76,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5000,7320,0.195,1,52,0,0,0,0,83.4,5.0,4.06,-0.04,12.95,0.0,0.26,0.88,2.41,3.44,-1.0,-0.63,1.5,3.56,45.71,0.05,7.76,139,3,0,0,0,0,1942539816004672234,8,5.76,5,7,0,0,0,7
0,6,15,4,100.0,8.09,9,605,8.09,-296.82985327566314,5788.88,0,0,230,6,0,0,0,0,6,15,4,100.0,8.09,9,605,8.09,-296.82985327566314,5788.88,0,0,230,0,0,4,0,0,0,1,49,83.4,6.0,5.13,-0.05,12.1,0.0,0.43,0.94,2.44,3.47,-1.0,-0.58,1.37,3.56,46.68,0.12,4.63,124,3,0,4,3.23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,5000,7430,0.193,1,49,0,0,0,0,83.4,6.0,5.13,-0.05,12.1,0.0,0.43,0.94,2.44,3.47,-1.0,-0.58,1.37,3.56,46.68,0.12,4.63,124,3,0,0,0,0,1942539816004672234,4,3.23,6,7,0,0,0,7
0,3,14,2,100.0,8.2,11,543,8.2,-164.99936303296244,5274.06,0,0,224,3,0,0,0,0,3,14,2,100.0,8.2,11,543,8.2,-164.99936303296244,5274.06,0,0,224,1.0,1,3,0,0,0,1,46,84.4,7.0,6.0,-0.03,12.73,0.0,0.53,0.95,2.47,3.48,-1.0,-0.51,2.12,3.62,47.95,0.13,12,110,3,0,3,2.73,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,3,5000,7527,0.184,1,46,0,0,0,0,84.4,7.0,6.0,-0.03,12.73,0.0,0.53,0.95,2.47,3.48,-1.0,-0.51,2.12,3.62,47.95,0.13,12,110,3,0,0,0,0,1942539816004672234,3,2.73,7,6,0,0,0,6
0,5,9,0,100.0,8.6,4,497,8.6,-124.25175129914098,4858.37,0,0,218,5,0,0,0,0,5,9,0,100.0,8.6,4,497,8.6,-124.25175129914098,4858.37,0,0,218,0,0,3,0,0,0,1,41,86,8.0,7.11,-0.05,8.91,0.0,0.51,0.94,2.46,3.5,-1.0,-0.45,1.28,3.67,48.1,0.07,12,101,3,0,3,2.97,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5000,7621,0.204,1,41,0,0,0,0,86,8.0,7.11,-0.05,8.91,0.0,0.51,0.94,2.46,3.5,-1.0,-0.45,1.28,3.67,48.1,0.07,12,101,3,0,0,0,0,1942539816004672234,3,2.97,8,8,0,0,0,8
0,4,7,0,100.0,8.89,3,456,8.89,-112.90398096382324,4509.97,0,0,212,4,0,0,0,0,4,7,0,100.0,8.89,3,456,8.89,-112.90398096382324,4509.97,0,0,212,0,0,2,0,0,0,1,41,89,9.0,8.0,-0.04,7.45,0.0,0.49,0.96,2.43,3.44,-1.0,-0.4,1.24,3.65,47.98,-0.03,8,94,3,0,2,2.13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5000,7685,0.225,1,41,0,0,0,0,89,9.0,8.0,-0.04,7.45,0.0,0.49,0.96,2.43,3.44,-1.0,-0.4,1.24,3.65,47.98,-0.03,8,94,3,0,0,0,0,1942539816004672234,2,2.13,9,11,0,0,0,11
