agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.17,0,1246,7.17,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.17,0,1246,7.17,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,5368339330910448468,50,20.0,0,0,0,0,0,0
0,29,29,8,100.0,7.07,0,1102,7.07,323.83767145608965,10848.28,0,0,249,29,0,0,0,0,29,29,8,100.0,7.07,0,1102,7.07,323.83767145608965,10848.28,0,0,249,0,0,41,0,0,0,2,79,81,1.0,0.34,-0.1,13.12,0.0,-0.48,0.62,2.49,3.47,-1.0,-0.91,1.32,3.48,49.09,-0.08,13,221,3,0,42,19.0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,42,13576,7729,0.141,2,79,0,0,0,0,81,1.0,0.34,-0.1,13.12,0.0,-0.48,0.62,2.49,3.47,-1.0,-0.91,1.32,3.48,49.09,-0.08,13,221,3,0,0,0,0,5368339330910448468,42,19.0,1,32,0,0,0,31
0,18,19,7,100.0,7.25,1,1011,7.25,-613.9963803634596,9575.75,0,0,247,18,0,0,0,0,18,19,7,100.0,7.25,1,1011,7.25,-613.9963803634596,9575.75,0,0,247,1.0,2,35,0,0,0,2,74,78.61,2.0,1.32,-0.07,9.41,0.0,-0.4,0.65,2.5,3.45,-1.0,-0.84,1.2,3.51,47.4,-0.15,8,202,3,0,36,17.82,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,2,36,5000,7302,0.155,2,74,0,0,0,0,78.61,2.0,1.32,-0.07,9.41,0.0,-0.4,0.65,2.5,3.45,-1.0,-0.84,1.2,3.51,47.4,-0.15,8,202,3,0,0,0,0,5368339330910448468,36,17.82,2,32,0,0,0,29
0,13,25,14,100.0,7.54,12,894,7.54,-649.5986333654346,8238.83,0,0,244,13,0,0,0,0,13,25,14,100.0,7.54,12,894,7.54,-649.5986333654346,8238.83,0,0,244,1.0,1,23,0,0,0,1,69,77.61,3.0,2.16,-0.05,14.12,0.0,-0.13,0.74,2.53,3.46,-1.0,-0.76,1.15,3.51,46.55,-0.06,11.65,177,3,0,23,12.99,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.0,0,0,1,23,5000,7189,0.172,1,69,0,0,0,0,77.61,3.0,2.16,-0.05,14.12,0.0,-0.13,0.74,2.53,3.46,-1.0,-0.76,1.15,3.51,46.55,-0.06,11.65,177,3,0,0,0,0,5368339330910448468,23,12.99,3,19,0,0,0,17
0,10,25,14,100.0,8.29,15,761,8.29,-496.90169708678036,7183.58,0,0,240,10,0,0,0,0,10,25,14,100.0,8.29,15,761,8.29,-496.90169708678036,7183.58,0,0,240,1.0,1,9,0,0,0,1,62,80.36,4.0,3.04,-0.07,16.45,0.0,0.22,0.88,2.5,3.44,-1.0,-0.69,1.35,3.52,47.26,0.09,5,152,3,0,9,5.92,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,9,5000,7204,0.184,1,62,0,0,0,0,80.36,4.0,3.04,-0.07,16.45,0.0,0.22,0.88,2.5,3.44,-1.0,-0.69,1.35,3.52,47.26,0.09,5,152,3,0,0,0,0,5368339330910448468,9,5.92,4,12,0,0,0,12
0,8,17,5,100.0,8.64,9,671,8.64,-244.9976477893153,6517.73,0,0,235,8,0,0,0,0,8,17,5,100.0,8.64,9,671,8.64,-244.9976477893153,6517.73,0,0,235,0,0,3,0,0,0,1,56,83.08,5.0,4.12,-0.06,12.59,0.0,0.36,0.96,2.49,3.47,-1.0,-0.62,1.18,3.59,48.28,0.08,5.24,135,3,0,3,2.22,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5000,7324,0.177,1,56,0,0,0,0,83.08,5.0,4.12,-0.06,12.59,0.0,0.36,0.96,2.49,3.47,-1.0,-0.62,1.18,3.59,48.28,0.08,5.24,135,3,0,0,0,0,5368339330910448468,3,2.22,5,11,0,0,0,11
0,4,10,2,100.0,9.03,6,617,9.03,-138.81588314909715,6162.64,0,0,230,4,0,0,0,0,4,10,2,100.0,9.03,6,617,9.03,-138.81588314909715,6162.64,0,0,230,0,0,1,0,0,0,1,53,85.95,6.0,5.1,-0.03,8.0,0.0,0.47,0.98,2.47,3.5,-1.0,-0.57,1.52,3.58,49.3,0.09,11.91,125,3,0,1,0.8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7393,0.176,1,53,0,0,0,0,85.95,6.0,5.1,-0.03,8.0,0.0,0.47,0.98,2.47,3.5,-1.0,-0.57,1.52,3.58,49.3,0.09,11.91,125,3,0,0,0,0,5368339330910448468,1,0.8,6,9,0,0,0,9
0,4,7,0,100.0,9.44,3,570,9.44,-93.7264052285214,5887.95,0,0,225,4,0,0,0,0,4,7,0,100.0,9.44,3,570,9.44,-93.7264052285214,5887.95,0,0,225,0,0,1,0,0,0,1,52,88.95,7.0,6.14,-0.03,5.93,0.0,0.58,0.98,2.42,3.44,-1.0,-0.47,1.56,3.59,49.9,0.1,6.91,118,3,0,1,0.85,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7457,0.187,1,52,0,0,0,0,88.95,7.0,6.14,-0.03,5.93,0.0,0.58,0.98,2.42,3.44,-1.0,-0.47,1.56,3.59,49.9,0.1,6.91,118,3,0,0,0,0,5368339330910448468,1,0.85,7,14,0,0,0,14
0,8,12,0,100.0,9.91,4,500,9.91,-82.41889219955452,5416.49,0,0,220,8,0,0,0,0,8,12,0,100.0,9.91,4,500,9.91,-82.41889219955452,5416.49,0,0,220,0,0,1,0,0,0,1,47,91.95,8.0,7.08,-0.08,11.32,0.0,0.57,0.98,2.36,3.39,-1.0,-0.44,1.82,3.61,51.1,0.11,12.71,106,3,0,1,0.94,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7541,0.194,1,47,0,0,0,0,91.95,8.0,7.08,-0.08,11.32,0.0,0.57,0.98,2.36,3.39,-1.0,-0.44,1.82,3.61,51.1,0.11,12.71,106,3,0,0,0,0,5368339330910448468,1,0.94,8,9,0,0,0,9
0,5,7,0,100.0,10.23,2,464,10.23,-54.32577655976654,5117.78,0,0,214,5,0,0,0,0,5,7,0,100.0,10.23,2,464,10.23,-54.32577655976654,5117.78,0,0,214,0,0,0,0,0,0,1,45,93.95,9.0,8.14,-0.05,7.07,0.0,0.64,1.0,2.34,3.35,-1.0,-0.37,1.25,3.58,51.69,0.06,8.71,99,3,0,0,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7602,0.21,1,45,0,0,0,0,93.95,9.0,8.14,-0.05,7.07,0.0,0.64,1.0,2.34,3.35,-1.0,-0.37,1.25,3.58,51.69,0.06,8.71,99,3,0,0,0,0,5368339330910448468,0,0.0,9,10,0,0,0,10
