agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.39,0,1246,7.39,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.39,0,1246,7.39,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,3757926179329681785,50,20.0,0,0,0,0,0,0
0,28,28,5,100.0,7.55,0,1102,7.55,490.7275072244056,10865.27,0,0,249,28,0,0,0,0,28,28,5,100.0,7.55,0,1102,7.55,490.7275072244056,10865.27,0,0,249,1.0,1,45,0,0,0,0,76,81.74,1.0,0.21,-0.12,12.61,0.0,-0.53,0.59,2.48,3.55,-1.0,-0.91,1.13,3.53,48.94,-0.11,16,222,3,0,46,20.72,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1.0,0,0,1,46,13576,7735,0.143,0,76,0,0,0,0,81.74,1.0,0.21,-0.12,12.61,0.0,-0.53,0.59,2.48,3.55,-1.0,-0.91,1.13,3.53,48.94,-0.11,16,222,3,0,0,0,0,3757926179329681785,46,20.72,1,43,0,0,0,40
0,21,23,8,100.0,7.69,2,988,7.69,-644.0643413630181,9460.76,0,0,247,21,0,0,0,0,21,23,8,100.0,7.69,2,988,7.69,-644.0643413630181,9460.76,0,0,247,1.0,2,39,0,0,0,1,68,83.98,2.0,1.26,-0.11,11.56,0.0,-0.37,0.62,2.48,3.61,-1.0,-0.82,1.3,3.55,47.54,-0.06,7,199,3,0,40,20.1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.0,0,0,2,40,5000,7316,0.166,1,68,0,0,0,0,83.98,2.0,1.26,-0.11,11.56,0.0,-0.37,0.62,2.48,3.61,-1.0,-0.82,1.3,3.55,47.54,-0.06,7,199,3,0,0,0,0,3757926179329681785,40,20.1,2,36,0,0,0,34
0,10,20,11,100.0,8.16,10,868,8.16,-654.3470326701685,8371.07,0,0,244,10,0,0,0,0,10,20,11,100.0,8.16,10,868,8.16,-654.3470326701685,8371.07,0,0,244,1.0,1,26,0,0,0,0,63,84.98,3.0,2.15,-0.06,11.17,0.0,-0.07,0.71,2.42,3.66,-1.0,-0.74,1.31,3.59,46.77,0.02,5.58,179,3,0,27,15.08,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1.0,0,0,1,27,5000,7149,0.19,0,63,0,0,0,0,84.98,3.0,2.15,-0.06,11.17,0.0,-0.07,0.71,2.42,3.66,-1.0,-0.74,1.31,3.59,46.77,0.02,5.58,179,3,0,0,0,0,3757926179329681785,27,15.08,3,28,0,0,0,26
0,15,28,12,100.0,8.9,13,719,8.9,-564.5916472874935,7215.92,0,0,240,15,0,0,0,0,15,28,12,100.0,8.9,13,719,8.9,-564.5916472874935,7215.92,0,0,240,0,0,13,0,0,0,2,54,85.98,4.0,3.07,-0.1,18.54,0.0,0.19,0.81,2.38,3.65,-1.0,-0.67,1.07,3.55,47.79,0.15,4.38,151,3,0,14,9.27,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,5000,7212,0.197,2,54,0,0,0,0,85.98,4.0,3.07,-0.1,18.54,0.0,0.19,0.81,2.38,3.65,-1.0,-0.67,1.07,3.55,47.79,0.15,4.38,151,3,0,0,0,0,3757926179329681785,14,9.27,4,19,0,0,0,19
0,6,19,10,100.0,9.93,13,625,9.93,-289.7464098114324,6661.9,0,0,235,6,0,0,0,0,6,19,10,100.0,9.93,13,625,9.93,-289.7464098114324,6661.9,0,0,235,0,0,1,0,0,0,2,46,86.98,5.0,4.05,-0.05,14.39,0.0,0.56,0.98,2.37,3.57,-1.0,-0.57,1.17,3.43,50.47,0.2,10,132,3,0,1,0.76,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7311,0.176,2,46,0,0,0,0,86.98,5.0,4.05,-0.05,14.39,0.0,0.56,0.98,2.37,3.57,-1.0,-0.57,1.17,3.43,50.47,0.2,10,132,3,0,0,0,0,3757926179329681785,1,0.76,5,17,0,0,0,17
0,9,16,1,100.0,10.52,7,541,10.52,-142.2459474479101,5989.22,0,0,230,9,0,0,0,0,9,16,1,100.0,10.52,7,541,10.52,-142.2459474479101,5989.22,0,0,230,0,0,0,0,0,0,1,43,87.98,6.0,5.0,-0.08,13.79,0.0,0.5,1.0,2.33,3.56,-1.0,-0.54,1.05,3.52,51.63,0.12,10.17,116,3,0,0,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7454,0.179,1,43,0,0,0,0,87.98,6.0,5.0,-0.08,13.79,0.0,0.5,1.0,2.33,3.56,-1.0,-0.54,1.05,3.52,51.63,0.12,10.17,116,3,0,0,0,0,3757926179329681785,0,0.0,6,6,0,0,0,6
0,3,7,0,100.0,10.81,4,501,10.81,-65.89506409361687,5729.2,0,0,224,3,0,0,0,0,3,7,0,100.0,10.81,4,501,10.81,-65.89506409361687,5729.2,0,0,224,0,0,0,0,0,0,1,41,88.98,7.0,6.0,-0.03,6.42,0.0,0.58,1.0,2.3,3.58,-1.0,-0.47,1.06,3.52,52.56,0.08,5,109,3,0,0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7535,0.183,1,41,0,0,0,0,88.98,7.0,6.0,-0.03,6.42,0.0,0.58,1.0,2.3,3.58,-1.0,-0.47,1.06,3.52,52.56,0.08,5,109,3,0,0,0,0,3757926179329681785,0,0.0,7,9,0,0,0,9
0,3,8,0,100.0,11.25,5,457,11.25,-37.55884047243955,5423.44,0,0,218,3,0,0,0,0,3,8,0,100.0,11.25,5,457,11.25,-37.55884047243955,5423.44,0,0,218,0,0,0,0,0,0,1,39,89.98,8.0,7.0,-0.03,7.92,0.0,0.66,1.0,2.26,3.61,-1.0,-0.4,1.23,3.58,53.7,0.09,2.17,101,3,0,0,0.0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7597,0.185,1,39,0,0,0,0,89.98,8.0,7.0,-0.03,7.92,0.0,0.66,1.0,2.26,3.61,-1.0,-0.4,1.23,3.58,53.7,0.09,2.17,101,3,0,0,0,0,3757926179329681785,0,0.0,8,17,0,0,0,17
0,1,6,0,100.0,11.76,5,422,11.76,-4.298624086996917,5295.49,0,0,212,1,0,0,0,0,1,6,0,100.0,11.76,5,422,11.76,-4.298624086996917,5295.49,0,0,212,0,0,0,0,0,0,1,39,92.02,9.0,8.0,-0.01,6.32,0.0,0.73,1.0,2.22,3.53,-1.0,-0.35,1.18,3.62,55.74,0.09,15,95,3,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7621,0.174,1,39,0,0,0,0,92.02,9.0,8.0,-0.01,6.32,0.0,0.73,1.0,2.22,3.53,-1.0,-0.35,1.18,3.62,55.74,0.09,15,95,3,0,0,0,0,3757926179329681785,0,0.0,9,7,0,0,0,7
