agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.3,0,1246,7.3,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.3,0,1246,7.3,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,9010356368502184891,50,20.0,0,0,0,0,0,0
0,36,36,10,100.0,7.42,0,1070,7.42,694.7281338359079,10564.12,0,0,249,36,0,0,0,0,36,36,10,100.0,7.42,0,1070,7.42,694.7281338359079,10564.12,0,0,249,1.0,2,42,0,0,0,1,77,77,1.0,0.25,-0.14,16.82,0.0,-0.52,0.61,2.5,3.51,-1.0,-0.91,1.13,3.57,49.37,-0.09,18.21,214,3,0,42,19.63,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.0,0,0,2,42,13576,7785,0.141,1,77,0,0,0,0,77,1.0,0.25,-0.14,16.82,0.0,-0.52,0.61,2.5,3.51,-1.0,-0.91,1.13,3.57,49.37,-0.09,18.21,214,3,0,0,0,0,9010356368502184891,42,19.63,1,38,0,0,0,36
0,24,26,9,100.0,7.65,2,934,7.65,-645.2497743816064,8960.25,0,0,246,24,0,0,0,0,24,26,9,100.0,7.65,2,934,7.65,-645.2497743816064,8960.25,0,0,246,1.0,2,34,0,0,0,1,69,79,2.0,1.35,-0.09,13.83,0.0,-0.38,0.65,2.48,3.54,-1.0,-0.84,1.19,3.61,47.66,-0.1,5.21,188,3,0,34,18.09,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1.0,0,0,2,34,5000,7430,0.17,1,69,0,0,0,0,79,2.0,1.35,-0.09,13.83,0.0,-0.38,0.65,2.48,3.54,-1.0,-0.84,1.19,3.61,47.66,-0.1,5.21,188,3,0,0,0,0,9010356368502184891,34,18.09,2,25,0,0,0,22
0,15,24,12,100.0,7.92,9,806,7.92,-617.3918151229194,7769.05,0,0,242,15,0,0,0,0,15,24,12,100.0,7.92,9,806,7.92,-617.3918151229194,7769.05,0,0,242,0,0,19,0,0,0,1,64,82,3.0,2.08,-0.08,14.63,0.0,-0.17,0.77,2.46,3.42,-1.0,-0.8,1.17,3.59,47.37,-0.06,10.09,164,3,0,19,11.59,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,5000,7327,0.183,1,64,0,0,0,0,82,3.0,2.08,-0.08,14.63,0.0,-0.17,0.77,2.46,3.42,-1.0,-0.8,1.17,3.59,47.37,-0.06,10.09,164,3,0,0,0,0,9010356368502184891,19,11.59,3,9,0,0,0,8
0,9,16,8,100.0,8.14,7,715,8.14,-494.2225774718492,6953.51,0,0,238,9,0,0,0,0,9,16,8,100.0,8.14,7,715,8.14,-494.2225774718492,6953.51,0,0,238,1.0,1,10,0,0,0,1,62,81,4.0,3.06,-0.06,10.81,0.0,0.03,0.86,2.42,3.34,-1.0,-0.74,1.43,3.57,46.98,-0.04,6,148,3,0,10,6.76,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,1,10,5000,7360,0.205,1,62,0,0,0,0,81,4.0,3.06,-0.06,10.81,0.0,0.03,0.86,2.42,3.34,-1.0,-0.74,1.43,3.57,46.98,-0.04,6,148,3,0,0,0,0,9010356368502184891,10,6.76,4,11,0,0,0,11
0,7,17,8,100.0,8.77,10,640,8.77,-296.95685807739517,6307.86,0,0,233,7,0,0,0,0,7,17,8,100.0,8.77,10,640,8.77,-296.95685807739517,6307.86,0,0,233,0,0,2,0,0,0,1,55,81.79,5.0,4.18,-0.04,12.98,0.0,0.31,0.97,2.44,3.32,-1.0,-0.68,1.44,3.63,48.15,0.06,2.09,131,3,0,2,1.53,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5000,7410,0.212,1,55,0,0,0,0,81.79,5.0,4.18,-0.04,12.98,0.0,0.31,0.97,2.44,3.32,-1.0,-0.68,1.44,3.63,48.15,0.06,2.09,131,3,0,0,0,0,9010356368502184891,2,1.53,5,15,0,0,0,14
0,10,18,0,100.0,9.56,8,547,9.56,-180.441680057379,5615.16,0,0,227,10,0,0,0,0,10,18,0,100.0,9.56,8,547,9.56,-180.441680057379,5615.16,0,0,227,0,0,1,0,0,0,1,47,85.79,6.0,5.0,-0.09,15.93,0.0,0.39,0.98,2.42,3.32,-1.0,-0.65,1.08,3.58,49.69,0.14,9,113,3,0,1,0.88,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7535,0.214,1,47,0,0,0,0,85.79,6.0,5.0,-0.09,15.93,0.0,0.39,0.98,2.42,3.32,-1.0,-0.65,1.08,3.58,49.69,0.14,9,113,3,0,0,0,0,9010356368502184891,1,0.88,6,5,0,0,0,5
0,6,12,0,100.0,10.4,6,472,10.4,-128.75421949911077,5128.32,0,0,221,6,0,0,0,0,6,12,0,100.0,10.4,6,472,10.4,-128.75421949911077,5128.32,0,0,221,0,0,1,0,0,0,1,45,89.49,7.0,6.0,-0.06,11.88,0.0,0.52,0.98,2.34,3.32,-1.0,-0.59,1.0,3.55,50.78,0.19,6,101,3,0,1,0.99,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7635,0.228,1,45,0,0,0,0,89.49,7.0,6.0,-0.06,11.88,0.0,0.52,0.98,2.34,3.32,-1.0,-0.59,1.0,3.55,50.78,0.19,6,101,3,0,0,0,0,9010356368502184891,1,0.99,7,7,0,0,0,7
0,2,7,0,100.0,11.05,5,430,11.05,-70.63190732447335,4956.39,0,0,215,2,0,0,0,0,2,7,0,100.0,11.05,5,430,11.05,-70.63190732447335,4956.39,0,0,215,0,0,1,0,0,0,1,41,93.24,8.0,7.14,-0.02,7.45,0.0,0.64,0.98,2.29,3.33,-1.0,-0.56,1.03,3.55,52.73,0.24,12,94,3,0,1,1.06,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7678,0.224,1,41,0,0,0,0,93.24,8.0,7.14,-0.02,7.45,0.0,0.64,0.98,2.29,3.33,-1.0,-0.56,1.03,3.55,52.73,0.24,12,94,3,0,0,0,0,9010356368502184891,1,1.06,8,10,0,0,0,9
0,3,7,1,100.0,11.55,4,390,11.55,-17.482359322895437,4670.3,0,0,209,3,0,0,0,0,3,7,1,100.0,11.55,4,390,11.55,-17.482359322895437,4670.3,0,0,209,0,0,0,0,0,0,1,37,97.21,9.0,8.0,-0.03,8.05,0.0,0.62,1.0,2.24,3.33,-1.0,-0.5,1.01,3.51,53.68,0.16,11.21,87,3,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7723,0.233,1,37,0,0,0,0,97.21,9.0,8.0,-0.03,8.05,0.0,0.62,1.0,2.24,3.33,-1.0,-0.5,1.01,3.51,53.68,0.16,11.21,87,3,0,0,0,0,9010356368502184891,0,0.0,9,5,0,0,0,5
