agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.29,0,1246,7.29,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.29,0,1246,7.29,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,2530363980835244693,50,20.0,0,0,0,0,0,0
0,43,43,5,100.0,7.25,0,1028,7.25,1066.6856484315422,10145.05,0,0,248,43,0,0,0,0,43,43,5,100.0,7.25,0,1028,7.25,1066.6856484315422,10145.05,0,0,248,1.0,1,45,0,0,0,1,71,80,1.0,0.23,-0.17,20.77,0.0,-0.63,0.57,2.48,3.48,-1.0,-0.93,1.22,3.48,49.01,-0.1,16,207,3,0,46,22.22,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1.0,0,0,1,46,13576,7798,0.151,1,71,0,0,0,0,80,1.0,0.23,-0.17,20.77,0.0,-0.63,0.57,2.48,3.48,-1.0,-0.93,1.22,3.48,49.01,-0.1,16,207,3,0,0,0,0,2530363980835244693,46,22.22,1,28,0,0,0,24
0,16,17,8,100.0,7.38,1,932,7.38,-599.5465520136253,8908.67,0,0,246,16,0,0,0,0,16,17,8,100.0,7.38,1,932,7.38,-599.5465520136253,8908.67,0,0,246,1.0,2,37,0,0,0,1,66,82,2.0,1.29,-0.06,8.95,0.0,-0.42,0.61,2.45,3.45,-1.0,-0.87,1.19,3.43,46.89,-0.1,7,190,3,0,38,20.0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.0,0,0,2,38,5000,7390,0.181,1,66,0,0,0,0,82,2.0,1.29,-0.06,8.95,0.0,-0.42,0.61,2.45,3.45,-1.0,-0.87,1.19,3.43,46.89,-0.1,7,190,3,0,0,0,0,2530363980835244693,38,20.0,2,25,0,0,0,22
0,12,23,17,100.0,7.71,11,812,7.71,-621.8592649798077,7755.86,0,0,243,12,0,0,0,0,12,23,17,100.0,7.71,11,812,7.71,-621.8592649798077,7755.86,0,0,243,1.0,3,21,0,0,0,1,60,85,3.0,2.09,-0.06,13.77,0.0,-0.14,0.76,2.43,3.42,-1.0,-0.81,1.3,3.46,46.44,-0.02,6,167,3,0,21,12.57,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.0,0,0,3,22,5000,7274,0.198,1,60,0,0,0,0,85,3.0,2.09,-0.06,13.77,0.0,-0.14,0.76,2.43,3.42,-1.0,-0.81,1.3,3.46,46.44,-0.02,6,167,3,0,0,0,0,2530363980835244693,21,12.57,3,12,0,0,0,11
0,11,19,8,100.0,8.45,8,710,8.45,-472.05692081065865,6986.81,0,0,239,11,0,0,0,0,11,19,8,100.0,8.45,8,710,8.45,-472.05692081065865,6986.81,0,0,239,1.0,2,11,0,0,0,1,55,87,4.0,3.16,-0.06,12.84,0.0,0.13,0.86,2.4,3.36,-1.0,-0.76,1.02,3.45,47.21,0.08,4.14,148,3,0,10,6.76,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.0,0,0,2,12,5000,7313,0.211,1,55,0,0,0,0,87,4.0,3.16,-0.06,12.84,0.0,0.13,0.86,2.4,3.36,-1.0,-0.76,1.02,3.45,47.21,0.08,4.14,148,3,0,0,0,0,2530363980835244693,10,6.76,4,16,0,0,0,13
0,4,20,9,100.0,9.74,16,594,9.74,-269.8781342218118,6413.09,0,0,234,4,0,0,0,0,4,20,9,100.0,9.74,16,594,9.74,-269.8781342218118,6413.09,0,0,234,0,0,0,0,0,0,1,49,89.5,5.0,4.0,-0.03,15.62,0.0,0.43,0.98,2.32,3.25,-1.0,-0.71,1.12,3.51,50.1,0.19,2.08,128,3,0,1,0.78,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7390,0.193,1,49,0,0,0,0,89.5,5.0,4.0,-0.03,15.62,0.0,0.43,0.98,2.32,3.25,-1.0,-0.71,1.12,3.51,50.1,0.19,2.08,128,3,0,0,0,0,2530363980835244693,1,0.78,5,8,0,0,0,8
0,4,8,0,100.0,10.52,4,550,10.52,-93.34751888660202,6143.43,0,0,229,4,0,0,0,0,4,8,0,100.0,10.52,4,550,10.52,-93.34751888660202,6143.43,0,0,229,0,0,0,0,0,0,1,45,93.5,6.0,5.0,-0.03,6.67,0.0,0.39,0.98,2.29,3.31,-1.0,-0.67,1.21,3.53,51.2,0.12,13,120,3,0,1,0.83,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7489,0.202,1,45,0,0,0,0,93.5,6.0,5.0,-0.03,6.67,0.0,0.39,0.98,2.29,3.31,-1.0,-0.67,1.21,3.53,51.2,0.12,13,120,3,0,0,0,0,2530363980835244693,1,0.83,6,8,0,0,0,8
0,4,10,0,100.0,11.05,6,499,11.05,-67.96076052871481,5691.62,0,0,224,4,0,0,0,0,4,10,0,100.0,11.05,6,499,11.05,-67.96076052871481,5691.62,0,0,224,0,0,0,0,0,0,1,44,97.46,7.0,6.0,-0.04,9.09,0.0,0.43,0.98,2.27,3.35,-1.0,-0.58,1.17,3.54,51.74,0.06,10,110,3,0,1,0.91,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7553,0.217,1,44,0,0,0,0,97.46,7.0,6.0,-0.04,9.09,0.0,0.43,0.98,2.27,3.35,-1.0,-0.58,1.17,3.54,51.74,0.06,10,110,3,0,0,0,0,2530363980835244693,1,0.91,7,12,0,0,0,12
0,9,12,1,100.0,11.63,3,436,11.63,-57.48220367093194,5224.78,0,0,218,9,0,0,0,0,9,12,1,100.0,11.63,3,436,11.63,-57.48220367093194,5224.78,0,0,218,0,0,0,0,0,0,1,40,100.73,8.0,7.08,-0.09,12.24,0.0,0.43,1.0,2.22,3.42,-1.0,-0.55,1.01,3.51,53.31,0.07,6,98,3,0,0,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7640,0.222,1,40,0,0,0,0,100.73,8.0,7.08,-0.09,12.24,0.0,0.43,1.0,2.22,3.42,-1.0,-0.55,1.01,3.51,53.31,0.07,6,98,3,0,0,0,0,2530363980835244693,0,0.0,8,6,0,0,0,6
0,4,9,0,100.0,12.56,5,388,12.56,-1.0145890671712365,5018.9,0,0,212,4,0,0,0,0,4,9,0,100.0,12.56,5,388,12.56,-1.0145890671712365,5018.9,0,0,212,0,0,0,0,0,0,1,37,103.73,9.0,8.11,-0.04,10.11,0.0,0.54,1.0,2.18,3.4,-1.0,-0.5,1.19,3.58,56.39,0.08,11,89,3,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7690,0.209,1,37,0,0,0,0,103.73,9.0,8.11,-0.04,10.11,0.0,0.54,1.0,2.18,3.4,-1.0,-0.5,1.19,3.58,56.39,0.08,11,89,3,0,0,0,0,2530363980835244693,0,0.0,9,5,0,0,0,5
