agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.16,0,1246,7.16,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.16,0,1246,7.16,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,904085800047401130,50,20.0,0,0,0,0,0,0
0,31,31,8,100.0,6.7,0,1099,6.7,223.3417196136902,10660.12,0,0,249,31,0,0,0,0,31,31,8,100.0,6.7,0,1099,6.7,223.3417196136902,10660.12,0,0,249,1.2,24,66,0,0,0,0,76,76,1.0,0.35,-0.12,14.16,0.0,-0.63,0.53,2.51,3.44,-1.0,-0.89,1.22,3.53,48.68,-0.16,11,219,3,0,63,28.77,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1.18,0,0,26,68,13576,7778,0.146,0,76,0,0,0,0,76,1.0,0.35,-0.12,14.16,0.0,-0.63,0.53,2.51,3.44,-1.0,-0.89,1.22,3.53,48.68,-0.16,11,219,3,0,0,0,0,904085800047401130,63,28.77,1,40,0,0,0,36
0,21,24,16,100.0,6.45,3,990,6.45,-942.754453733828,8897.07,0,0,247,21,0,0,0,0,21,24,16,100.0,6.45,3,990,6.45,-942.754453733828,8897.07,0,0,247,1.08,13,64,0,0,0,0,70,77.85,2.0,1.25,-0.08,12.31,0.0,-0.6,0.44,2.54,3.43,-1.0,-0.8,1.27,3.59,45.63,-0.15,13.84,195,3,0,58,29.74,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1.08,0,0,13,65,5000,7443,0.181,0,70,0,0,0,0,77.85,2.0,1.25,-0.08,12.31,0.0,-0.6,0.44,2.54,3.43,-1.0,-0.8,1.27,3.59,45.63,-0.15,13.84,195,3,0,0,0,0,904085800047401130,58,29.74,2,27,0,0,0,26
0,11,30,23,100.0,6.61,19,835,6.61,-1025.4411650575375,7440.26,0,0,243,11,0,0,0,0,11,30,23,100.0,6.61,19,835,6.61,-1025.4411650575375,7440.26,0,0,243,1.0,5,40,0,0,0,2,56,80.85,3.0,2.2,-0.05,18.18,0.0,-0.23,0.54,2.53,3.44,-1.0,-0.73,1.52,3.67,45.09,0.01,8,165,3,0,39,23.64,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1.0,0,0,5,41,5000,7323,0.192,2,56,0,0,0,0,80.85,3.0,2.2,-0.05,18.18,0.0,-0.23,0.54,2.53,3.44,-1.0,-0.73,1.52,3.67,45.09,0.01,8,165,3,0,0,0,0,904085800047401130,39,23.64,3,22,0,0,0,18
0,7,26,17,100.0,7.07,19,690,7.07,-710.596377031321,6273.13,0,0,238,7,0,0,0,0,7,26,17,100.0,7.07,19,690,7.07,-710.596377031321,6273.13,0,0,238,1.0,2,23,0,0,0,1,48,83.85,4.0,3.04,-0.04,18.71,0.0,-0.0,0.7,2.48,3.41,-1.0,-0.7,1.28,3.65,45.13,0.03,10.24,139,3,0,23,16.55,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.0,0,0,2,24,5000,7361,0.198,1,48,0,0,0,0,83.85,4.0,3.04,-0.04,18.71,0.0,-0.0,0.7,2.48,3.41,-1.0,-0.7,1.28,3.65,45.13,0.03,10.24,139,3,0,0,0,0,904085800047401130,23,16.55,4,19,0,0,0,18
0,7,19,9,100.0,7.55,12,601,7.55,-486.62657460693634,5429.29,0,0,233,7,0,0,0,0,7,19,9,100.0,7.55,12,601,7.55,-486.62657460693634,5429.29,0,0,233,0,0,11,0,0,0,1,41,85.85,5.0,4.16,-0.06,15.83,0.0,0.12,0.8,2.5,3.47,-1.0,-0.65,1.6,3.73,45.24,0.03,6.49,120,3,0,12,10.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,5000,7460,0.214,1,41,0,0,0,0,85.85,5.0,4.16,-0.06,15.83,0.0,0.12,0.8,2.5,3.47,-1.0,-0.65,1.6,3.73,45.24,0.03,6.49,120,3,0,0,0,0,904085800047401130,12,10.0,5,11,0,0,0,10
0,6,15,6,100.0,8.12,9,513,8.12,-308.1592091624648,4838.83,0,0,227,6,0,0,0,0,6,15,6,100.0,8.12,9,513,8.12,-308.1592091624648,4838.83,0,0,227,1.0,1,7,0,0,0,2,37,87.95,6.0,5.07,-0.06,14.29,0.0,0.19,0.89,2.44,3.43,-1.0,-0.63,1.19,3.77,46.08,-0.01,5.39,105,3,0,7,6.67,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,7,5000,7577,0.223,2,37,0,0,0,0,87.95,6.0,5.07,-0.06,14.29,0.0,0.19,0.89,2.44,3.43,-1.0,-0.63,1.19,3.77,46.08,-0.01,5.39,105,3,0,0,0,0,904085800047401130,7,6.67,6,10,0,0,0,10
0,5,17,4,100.0,9.12,12,426,9.12,-178.30338793016278,4236.96,0,0,221,5,0,0,0,0,5,17,4,100.0,9.12,12,426,9.12,-178.30338793016278,4236.96,0,0,221,0,0,2,0,0,0,2,35,93.02,7.0,6.0,-0.06,19.32,0.0,0.33,0.95,2.42,3.36,-1.0,-0.61,1.41,3.83,48.15,0.05,5.55,88,3,0,2,2.27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5000,7706,0.218,2,35,0,0,0,0,93.02,7.0,6.0,-0.06,19.32,0.0,0.33,0.95,2.42,3.36,-1.0,-0.61,1.41,3.83,48.15,0.05,5.55,88,3,0,0,0,0,904085800047401130,2,2.27,7,6,0,0,0,6
0,2,6,1,100.0,9.82,4,393,9.82,-81.02329422274249,4006.3,0,0,215,2,0,0,0,0,2,6,1,100.0,9.82,4,393,9.82,-81.02329422274249,4006.3,0,0,215,0,0,1,0,0,0,2,32,95.02,8.0,7.17,-0.02,7.32,0.0,0.45,0.98,2.4,3.33,-1.0,-0.56,1.29,3.8,48.86,0.06,4.55,82,3,0,1,1.22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7787,0.234,2,32,0,0,0,0,95.02,8.0,7.17,-0.02,7.32,0.0,0.45,0.98,2.4,3.33,-1.0,-0.56,1.29,3.8,48.86,0.06,4.55,82,3,0,0,0,0,904085800047401130,1,1.22,8,8,0,0,0,8
0,1,2,0,100.0,9.96,1,378,9.96,-41.04600990649987,3922.3,0,0,209,1,0,0,0,0,1,2,0,100.0,9.96,1,378,9.96,-41.04600990649987,3922.3,0,0,209,0,0,1,0,0,0,2,31,97.02,9.0,8.0,-0.01,2.5,0.0,0.51,0.97,2.36,3.31,-1.0,-0.53,1.17,3.81,49.03,0.07,1.55,80,3,0,1,1.25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7822,0.251,2,31,0,0,0,0,97.02,9.0,8.0,-0.01,2.5,0.0,0.51,0.97,2.36,3.31,-1.0,-0.53,1.17,3.81,49.03,0.07,1.55,80,3,0,0,0,0,904085800047401130,1,1.25,9,3,0,0,0,3
