agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.93,0,1246,7.93,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.93,0,1246,7.93,12442,12442,0,0,250,0,1,1,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,5838059335199392735,1,0.4,0,0,0,0,0,0
0,40,40,1,100.0,8.29,0,1044,8.29,1121.6363937235465,10565.83,0,0,248,40,0,0,0,0,40,40,1,100.0,8.29,0,1044,8.29,1121.6363937235465,10565.83,0,0,248,1.0,1,1,0,0,0,1,71,79,1.0,0.2,-0.18,19.05,0.0,-0.15,0.99,2.49,3.47,-1.0,-0.91,1.15,3.48,50.31,-0.05,16.46,210,3,0,1,0.48,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,1,13576,7769,0.138,1,71,0,0,0,0,79,1.0,0.2,-0.18,19.05,0.0,-0.15,0.99,2.49,3.47,-1.0,-0.91,1.15,3.48,50.31,-0.05,16.46,210,3,0,0,0,0,5838059335199392735,1,0.48,1,36,0,0,0,36
0,13,13,0,100.0,8.34,0,981,8.34,-264.19245808767675,9797.41,0,0,246,13,0,0,0,0,13,13,0,100.0,8.34,0,981,8.34,-264.19245808767675,9797.41,0,0,246,1.0,1,2,0,0,0,0,67,81,2.0,1.31,-0.06,6.6,0.0,0.01,0.98,2.49,3.5,-1.0,-0.83,1.22,3.5,49.73,-0.08,12.46,197,3,0,2,1.02,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,2,5000,7319,0.147,0,67,0,0,0,0,81,2.0,1.31,-0.06,6.6,0.0,0.01,0.98,2.49,3.5,-1.0,-0.83,1.22,3.5,49.73,-0.08,12.46,197,3,0,0,0,0,5838059335199392735,2,1.02,2,19,0,0,0,18
0,17,18,0,100.0,8.42,1,892,8.42,-255.76707493937465,8905.25,0,0,243,17,0,0,0,0,17,18,0,100.0,8.42,1,892,8.42,-255.76707493937465,8905.25,0,0,243,1.0,1,2,0,0,0,0,64,84,3.0,2.22,-0.09,10.06,0.0,0.14,0.98,2.49,3.47,-1.0,-0.77,1.11,3.47,49.75,0.03,8.46,179,3,0,2,1.12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,2,5000,7179,0.153,0,64,0,0,0,0,84,3.0,2.22,-0.09,10.06,0.0,0.14,0.98,2.49,3.47,-1.0,-0.77,1.11,3.47,49.75,0.03,8.46,179,3,0,0,0,0,5838059335199392735,2,1.12,3,19,0,0,0,18
0,9,14,2,100.0,8.64,5,822,8.64,-196.29363685527017,8245.4,0,0,240,9,0,0,0,0,9,14,2,100.0,8.64,5,822,8.64,-196.29363685527017,8245.4,0,0,240,1.0,1,2,0,0,0,0,63,87,4.0,3.0,-0.05,8.48,0.0,0.25,0.98,2.49,3.59,-1.0,-0.69,1.21,3.44,49.97,0.02,11,165,3,0,2,1.21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,2,5000,7171,0.159,0,63,0,0,0,0,87,4.0,3.0,-0.05,8.48,0.0,0.25,0.98,2.49,3.59,-1.0,-0.69,1.21,3.44,49.97,0.02,11,165,3,0,0,0,0,5838059335199392735,2,1.21,4,21,0,0,0,21
0,7,10,0,100.0,8.41,3,772,8.41,-172.11637346718157,7716.01,0,0,236,7,0,0,0,0,7,10,0,100.0,8.41,3,772,8.41,-172.11637346718157,7716.01,0,0,236,1.0,2,4,0,0,0,0,59,90,5.0,4.0,-0.03,6.45,0.0,0.31,0.95,2.49,3.52,-1.0,-0.63,1.07,3.48,49.78,0.02,7,155,3,0,4,2.58,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,2,4,5000,7227,0.171,0,59,0,0,0,0,90,5.0,4.0,-0.03,6.45,0.0,0.31,0.95,2.49,3.52,-1.0,-0.63,1.07,3.48,49.78,0.02,7,155,3,0,0,0,0,5838059335199392735,4,2.58,5,8,0,0,0,8
0,10,18,1,100.0,9.22,8,669,9.22,-181.5659191925797,6983.74,0,0,232,10,0,0,0,0,10,18,1,100.0,9.22,8,669,9.22,-181.5659191925797,6983.74,0,0,232,1.0,1,3,0,0,0,0,52,91.09,6.0,5.11,-0.06,13.14,0.0,0.49,0.96,2.44,3.53,-1.0,-0.54,1.28,3.59,50.98,0.12,11.96,137,3,0,3,2.19,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,3,5000,7291,0.172,0,52,0,0,0,0,91.09,6.0,5.11,-0.06,13.14,0.0,0.49,0.96,2.44,3.53,-1.0,-0.54,1.28,3.59,50.98,0.12,11.96,137,3,0,0,0,0,5838059335199392735,3,2.19,6,14,0,0,0,14
0,5,9,0,100.0,9.32,4,615,9.32,-128.61971977054588,6573.49,0,0,227,5,0,0,0,0,5,9,0,100.0,9.32,4,615,9.32,-128.61971977054588,6573.49,0,0,227,1.33,4,7,0,0,0,0,49,94.09,7.0,6.0,-0.04,7.03,0.0,0.5,0.92,2.4,3.52,-1.0,-0.46,1.17,3.61,51.36,0.08,14.2,128,3,0,7,5.47,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.33,0,0,4,7,5000,7350,0.183,0,49,0,0,0,0,94.09,7.0,6.0,-0.04,7.03,0.0,0.5,0.92,2.4,3.52,-1.0,-0.46,1.17,3.61,51.36,0.08,14.2,128,3,0,0,0,0,5838059335199392735,7,5.47,7,16,0,0,0,16
0,7,10,1,100.0,9.25,3,571,9.25,-132.5969215318932,5976.52,0,0,222,7,0,0,0,0,7,10,1,100.0,9.25,3,571,9.25,-132.5969215318932,5976.52,0,0,222,1.0,3,8,0,0,0,0,43,96.92,8.0,7.1,-0.06,8.47,0.0,0.45,0.88,2.42,3.5,-1.0,-0.4,1.31,3.53,50.65,0.03,9.2,118,3,0,8,6.78,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0,0,0,3,8,5000,7427,0.209,0,43,0,0,0,0,96.92,8.0,7.1,-0.06,8.47,0.0,0.45,0.88,2.42,3.5,-1.0,-0.4,1.31,3.53,50.65,0.03,9.2,118,3,0,0,0,0,5838059335199392735,8,6.78,8,13,0,0,0,13
0,1,9,1,100.0,9.67,8,518,9.67,-124.33663074237143,5626.03,0,0,217,1,0,0,0,0,1,9,1,100.0,9.67,8,518,9.67,-124.33663074237143,5626.03,0,0,217,1.0,4,11,0,0,0,1,42,106.13,9.0,8.0,-0.01,8.26,0.0,0.56,0.82,2.38,3.55,-1.0,-0.31,1.26,3.53,51.61,0.07,5.2,109,3,0,11,10.09,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,4,11,5000,7461,0.218,1,42,0,0,0,0,106.13,9.0,8.0,-0.01,8.26,0.0,0.56,0.82,2.38,3.55,-1.0,-0.31,1.26,3.53,51.61,0.07,5.2,109,3,0,0,0,0,5838059335199392735,11,10.09,9,14,0,0,0,14
