agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.94,0,1246,7.94,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.94,0,1246,7.94,12442,12442,0,0,250,0,0,0,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,8210007621800882805,0,0.0,0,0,0,0,0,0
0,36,36,0,100.0,8.3,0,1059,8.3,912.6449503779568,10818.18,0,0,249,36,0,0,0,0,36,36,0,100.0,8.3,0,1059,8.3,912.6449503779568,10818.18,0,0,249,0,0,0,0,0,0,2,73,76,1.0,0.25,-0.17,16.82,0.0,-0.1,1.0,2.47,3.52,-1.0,-0.93,1.17,3.53,50.55,-0.0,17,214,3,0,0,0.0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13576,7751,0.135,2,73,0,0,0,0,76,1.0,0.25,-0.17,16.82,0.0,-0.1,1.0,2.47,3.52,-1.0,-0.93,1.17,3.53,50.55,-0.0,17,214,3,0,0,0,0,8210007621800882805,0,0.0,1,25,0,0,0,22
0,20,20,0,100.0,8.64,0,957,8.64,-243.60776783605934,9792.68,0,0,247,20,0,0,0,0,20,20,0,100.0,8.64,0,957,8.64,-243.60776783605934,9792.68,0,0,247,0,0,0,0,0,0,1,68,79,2.0,1.35,-0.1,10.31,0.0,0.01,1.0,2.47,3.52,-1.0,-0.86,1.25,3.51,50.48,-0.03,14.02,194,3,0,0,0.0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7317,0.144,1,68,0,0,0,0,79,2.0,1.35,-0.1,10.31,0.0,0.01,1.0,2.47,3.52,-1.0,-0.86,1.25,3.51,50.48,-0.03,14.02,194,3,0,0,0,0,8210007621800882805,0,0.0,2,30,0,0,0,25
0,12,12,0,100.0,8.87,0,901,8.87,-204.09358441783803,9146.07,0,0,244,12,0,0,0,0,12,12,0,100.0,8.87,0,901,8.87,-204.09358441783803,9146.07,0,0,244,0,0,0,0,0,0,1,67,82,3.0,2.17,-0.07,6.59,0.0,0.15,1.0,2.48,3.52,-1.0,-0.79,1.19,3.5,50.25,0.01,15,182,3,0,0,0.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7162,0.152,1,67,0,0,0,0,82,3.0,2.17,-0.07,6.59,0.0,0.15,1.0,2.48,3.52,-1.0,-0.79,1.19,3.5,50.25,0.01,15,182,3,0,0,0,0,8210007621800882805,0,0.0,3,23,0,0,0,23
0,12,13,0,100.0,8.84,1,846,8.84,-200.20427183400705,8408.64,0,0,241,12,0,0,0,0,12,13,0,100.0,8.84,1,846,8.84,-200.20427183400705,8408.64,0,0,241,0,0,0,0,0,0,1,65,85,4.0,3.23,-0.07,7.69,0.0,0.16,1.0,2.5,3.47,-1.0,-0.74,1.15,3.51,49.76,-0.03,9,169,3,0,0,0.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7174,0.166,1,65,0,0,0,0,85,4.0,3.23,-0.07,7.69,0.0,0.16,1.0,2.5,3.47,-1.0,-0.74,1.15,3.51,49.76,-0.03,9,169,3,0,0,0,0,8210007621800882805,0,0.0,4,19,0,0,0,18
0,11,16,0,100.0,9.3,5,764,9.3,-164.15577727158433,7670.45,0,0,237,11,0,0,0,0,11,16,0,100.0,9.3,5,764,9.3,-164.15577727158433,7670.45,0,0,237,0,0,0,0,0,0,1,60,88,5.0,4.19,-0.07,10.46,0.0,0.25,1.0,2.5,3.46,-1.0,-0.66,1.37,3.46,50.13,-0.01,14,153,3,0,0,0.0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7259,0.177,1,60,0,0,0,0,88,5.0,4.19,-0.07,10.46,0.0,0.25,1.0,2.5,3.46,-1.0,-0.66,1.37,3.46,50.13,-0.01,14,153,3,0,0,0,0,8210007621800882805,0,0.0,5,15,0,0,0,14
0,8,11,0,100.0,9.48,3,705,9.48,-135.8069506492672,7115.36,0,0,233,8,0,0,0,0,8,11,0,100.0,9.48,3,705,9.48,-135.8069506492672,7115.36,0,0,233,0,0,0,0,0,0,1,56,91,6.0,5.18,-0.06,7.75,0.0,0.29,1.0,2.48,3.49,-1.0,-0.62,1.45,3.49,50.11,-0.03,11,142,3,0,0,0.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7331,0.196,1,56,0,0,0,0,91,6.0,5.18,-0.06,7.75,0.0,0.29,1.0,2.48,3.49,-1.0,-0.62,1.45,3.49,50.11,-0.03,11,142,3,0,0,0,0,8210007621800882805,0,0.0,6,9,0,0,0,8
0,6,11,0,100.0,9.95,5,637,9.95,-101.30560450176851,6713.4,0,0,228,6,0,0,0,0,6,11,0,100.0,9.95,5,637,9.95,-101.30560450176851,6713.4,0,0,228,0,0,0,0,0,0,1,50,94,7.0,6.18,-0.05,8.4,0.0,0.4,1.0,2.43,3.46,-1.0,-0.57,1.16,3.51,51.25,0.01,9.1,131,3,0,0,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7382,0.2,1,50,0,0,0,0,94,7.0,6.18,-0.05,8.4,0.0,0.4,1.0,2.43,3.46,-1.0,-0.57,1.16,3.51,51.25,0.01,9.1,131,3,0,0,0,0,8210007621800882805,0,0.0,7,6,0,0,0,6
0,5,11,0,100.0,10.9,6,575,10.9,-61.64489755026153,6293.74,0,0,223,5,0,0,0,0,5,11,0,100.0,10.9,6,575,10.9,-61.64489755026153,6293.74,0,0,223,0,0,0,0,0,0,1,47,97,8.0,7.09,-0.04,9.17,0.0,0.49,1.0,2.4,3.39,-1.0,-0.53,1.15,3.52,52.45,0.06,11,120,3,0,0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7420,0.213,1,47,0,0,0,0,97,8.0,7.09,-0.04,9.17,0.0,0.49,1.0,2.4,3.39,-1.0,-0.53,1.15,3.52,52.45,0.06,11,120,3,0,0,0,0,8210007621800882805,0,0.0,8,10,0,0,0,9
0,4,8,0,100.0,11.49,4,532,11.49,-45.43702579132245,5968.99,0,0,218,4,0,0,0,0,4,8,0,100.0,11.49,4,532,11.49,-45.43702579132245,5968.99,0,0,218,0,0,0,0,0,0,1,41,100,9.0,8.12,-0.04,7.14,0.0,0.55,1.0,2.38,3.38,-1.0,-0.47,1.05,3.59,53.29,0.06,9,112,3,0,0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7486,0.221,1,41,0,0,0,0,100,9.0,8.12,-0.04,7.14,0.0,0.55,1.0,2.38,3.38,-1.0,-0.47,1.05,3.59,53.29,0.06,9,112,3,0,0,0,0,8210007621800882805,0,0.0,9,10,0,0,0,9
