agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.07,0,1246,7.07,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.07,0,1246,7.07,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,196454417499586513,50,20.0,0,0,0,0,0,0
0,28,28,7,100.0,6.83,0,1122,6.83,203.16244881816272,10745.82,0,0,249,28,0,0,0,0,28,28,7,100.0,6.83,0,1122,6.83,203.16244881816272,10745.82,0,0,249,1.0,6,51,0,0,0,0,78,78.35,1.0,0.39,-0.08,12.61,0.0,-0.58,0.57,2.53,3.49,-1.0,-0.91,1.18,3.53,48.4,-0.15,15.18,222,3,0,51,22.97,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1.0,0,0,6,52,13576,7781,0.145,0,78,0,0,0,0,78.35,1.0,0.39,-0.08,12.61,0.0,-0.58,0.57,2.53,3.49,-1.0,-0.91,1.18,3.53,48.4,-0.15,15.18,222,3,0,0,0,0,196454417499586513,51,22.97,1,32,0,0,0,29
0,13,13,2,100.0,6.51,0,1045,6.51,-735.0307481651911,9574.22,0,0,247,13,0,0,0,0,13,13,2,100.0,6.51,0,1045,6.51,-735.0307481651911,9574.22,0,0,247,1.0,7,55,0,0,0,0,73,79.35,2.0,1.31,-0.05,6.22,0.0,-0.51,0.51,2.5,3.47,-1.0,-0.83,1.16,3.59,45.81,-0.13,4.45,209,3,0,55,26.32,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1.0,0,0,7,56,5000,7350,0.174,0,73,0,0,0,0,79.35,2.0,1.31,-0.05,6.22,0.0,-0.51,0.51,2.5,3.47,-1.0,-0.83,1.16,3.59,45.81,-0.13,4.45,209,3,0,0,0,0,196454417499586513,55,26.32,2,25,0,0,0,25
0,12,24,14,100.0,6.44,12,925,6.44,-862.6830648252856,8143.28,0,0,244,12,0,0,0,0,12,24,14,100.0,6.44,12,925,6.44,-862.6830648252856,8143.28,0,0,244,1.0,5,42,0,0,0,0,69,79.35,3.0,2.04,-0.05,12.97,0.0,-0.27,0.58,2.5,3.49,-1.0,-0.77,1.06,3.56,44.02,-0.03,4.26,185,3,0,42,22.7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.0,0,0,5,43,5000,7221,0.201,0,69,0,0,0,0,79.35,3.0,2.04,-0.05,12.97,0.0,-0.27,0.58,2.5,3.49,-1.0,-0.77,1.06,3.56,44.02,-0.03,4.26,185,3,0,0,0,0,196454417499586513,42,22.7,3,16,0,0,0,16
0,9,31,18,100.0,6.84,22,753,6.84,-739.7429916801891,6808.5,0,0,240,9,0,0,0,0,9,31,18,100.0,6.84,22,753,6.84,-739.7429916801891,6808.5,0,0,240,1.0,2,20,0,0,0,0,56,80.71,4.0,3.03,-0.03,20.13,0.0,0.08,0.73,2.44,3.46,-1.0,-0.69,1.16,3.53,44.21,0.08,5.33,154,3,0,21,13.64,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,0,0,2,21,5000,7234,0.204,0,56,0,0,0,0,80.71,4.0,3.03,-0.03,20.13,0.0,0.08,0.73,2.44,3.46,-1.0,-0.69,1.16,3.53,44.21,0.08,5.33,154,3,0,0,0,0,196454417499586513,21,13.64,4,17,0,0,0,16
0,8,22,9,100.0,7.4,14,651,7.4,-485.8225497817381,5901.42,0,0,235,8,0,0,0,0,8,22,9,100.0,7.4,14,651,7.4,-485.8225497817381,5901.42,0,0,235,0,0,9,0,0,0,1,47,82.71,5.0,4.14,-0.05,16.67,0.0,0.24,0.86,2.47,3.49,-1.0,-0.67,1.33,3.47,44.71,0.09,4,132,3,0,9,6.82,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,5000,7349,0.214,1,47,0,0,0,0,82.71,5.0,4.14,-0.05,16.67,0.0,0.24,0.86,2.47,3.49,-1.0,-0.67,1.33,3.47,44.71,0.09,4,132,3,0,0,0,0,196454417499586513,9,6.82,5,12,0,0,0,11
0,5,15,3,100.0,7.9,10,569,7.9,-297.65692031371765,5339.81,0,0,230,5,0,0,0,0,5,15,3,100.0,7.9,10,569,7.9,-297.65692031371765,5339.81,0,0,230,0,0,4,0,0,0,1,43,84.71,6.0,5.07,-0.04,12.82,0.0,0.33,0.93,2.43,3.32,-1.0,-0.66,1.06,3.46,45.64,0.1,2.24,117,3,0,4,3.42,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5000,7440,0.213,1,43,0,0,0,0,84.71,6.0,5.07,-0.04,12.82,0.0,0.33,0.93,2.43,3.32,-1.0,-0.66,1.06,3.46,45.64,0.1,2.24,117,3,0,0,0,0,196454417499586513,4,3.42,6,5,0,0,0,5
0,5,15,3,100.0,8.56,10,492,8.56,-168.4104991293671,4823.22,0,0,224,5,0,0,0,0,5,15,3,100.0,8.56,10,492,8.56,-168.4104991293671,4823.22,0,0,224,0,0,1,0,0,0,1,37,87.71,7.0,6.13,-0.05,14.71,0.0,0.46,0.98,2.41,3.26,-1.0,-0.61,1.16,3.42,47.29,0.13,7.31,102,3,0,1,0.98,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,7536,0.208,1,37,0,0,0,0,87.71,7.0,6.13,-0.05,14.71,0.0,0.46,0.98,2.41,3.26,-1.0,-0.61,1.16,3.42,47.29,0.13,7.31,102,3,0,0,0,0,196454417499586513,1,0.98,7,4,0,0,0,3
0,3,8,1,100.0,8.92,5,447,8.92,-109.1604487352779,4541.44,0,0,218,3,0,0,0,0,3,8,1,100.0,8.92,5,447,8.92,-109.1604487352779,4541.44,0,0,218,0,0,0,0,0,0,1,37,89.71,8.0,7.0,-0.03,8.51,0.0,0.5,1.0,2.38,3.18,-1.0,-0.57,1.26,3.43,48.31,0.1,7,94,3,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7643,0.209,1,37,0,0,0,0,89.71,8.0,7.0,-0.03,8.51,0.0,0.5,1.0,2.38,3.18,-1.0,-0.57,1.26,3.43,48.31,0.1,7,94,3,0,0,0,0,196454417499586513,0,0.0,8,5,0,0,0,5
0,5,7,0,100.0,9.04,2,415,9.04,-61.78627063683438,4235.66,0,0,212,5,0,0,0,0,5,7,0,100.0,9.04,2,415,9.04,-61.78627063683438,4235.66,0,0,212,0,0,0,0,0,0,1,35,91.71,9.0,8.14,-0.05,8.05,0.0,0.45,1.0,2.39,3.14,-1.0,-0.51,1.18,3.4,48.69,0.0,6,87,3,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7720,0.229,1,35,0,0,0,0,91.71,9.0,8.14,-0.05,8.05,0.0,0.45,1.0,2.39,3.14,-1.0,-0.51,1.18,3.4,48.69,0.0,6,87,3,0,0,0,0,196454417499586513,0,0.0,9,7,0,0,0,7
