agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.18,0,1246,7.18,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.18,0,1246,7.18,12442,12442,0,0,250,0,49,49,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,50,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,3674524654181666243,50,20.0,0,0,0,0,0,0
0,29,29,3,100.0,7.04,0,1102,7.04,336.5798956947449,10833.0,0,0,249,29,0,0,0,0,29,29,3,100.0,7.04,0,1102,7.04,336.5798956947449,10833.0,0,0,249,1.0,4,50,0,0,0,0,77,85.47,1.0,0.31,-0.1,13.12,0.0,-0.57,0.56,2.49,3.47,-1.0,-0.94,1.28,3.5,49.02,-0.1,13,221,3,0,50,22.62,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1.0,0,0,4,51,13576,7740,0.141,0,77,0,0,0,0,85.47,1.0,0.31,-0.1,13.12,0.0,-0.57,0.56,2.49,3.47,-1.0,-0.94,1.28,3.5,49.02,-0.1,13,221,3,0,0,0,0,3674524654181666243,50,22.62,1,32,0,0,0,29
0,12,13,5,100.0,6.8,1,1033,6.8,-685.93107286901,9720.34,0,0,247,12,0,0,0,0,12,13,5,100.0,6.8,1,1033,6.8,-685.93107286901,9720.34,0,0,247,1.0,4,49,0,0,0,0,72,84.47,2.0,1.46,-0.04,6.25,0.0,-0.52,0.54,2.48,3.46,-1.0,-0.89,1.17,3.55,46.73,-0.13,9.95,208,3,0,49,23.56,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1.0,0,0,4,50,5000,7284,0.167,0,72,0,0,0,0,84.47,2.0,1.46,-0.04,6.25,0.0,-0.52,0.54,2.48,3.46,-1.0,-0.89,1.17,3.55,46.73,-0.13,9.95,208,3,0,0,0,0,3674524654181666243,49,23.56,2,17,0,0,0,15
0,15,32,19,100.0,7.23,17,866,7.23,-791.9036322334026,8186.02,0,0,244,15,0,0,0,0,15,32,19,100.0,7.23,17,866,7.23,-791.9036322334026,8186.02,0,0,244,1.0,5,29,0,0,0,1,61,83.47,3.0,2.22,-0.06,18.18,0.0,-0.21,0.72,2.46,3.41,-1.0,-0.82,1.25,3.51,46.51,-0.04,5.86,176,3,0,29,16.48,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.0,0,0,5,30,5000,7147,0.183,1,61,0,0,0,0,83.47,3.0,2.22,-0.06,18.18,0.0,-0.21,0.72,2.46,3.41,-1.0,-0.82,1.25,3.51,46.51,-0.04,5.86,176,3,0,0,0,0,3674524654181666243,29,16.48,3,13,0,0,0,12
0,6,18,8,100.0,7.63,12,771,7.63,-558.4560100037638,7297.14,0,0,240,6,0,0,0,0,6,18,8,100.0,7.63,12,771,7.63,-558.4560100037638,7297.14,0,0,240,1.0,2,19,0,0,0,0,54,85,4.0,3.06,-0.04,11.39,0.0,0.0,0.77,2.44,3.46,-1.0,-0.74,1.33,3.5,46.18,0.01,5,158,3,0,18,11.39,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,0,0,2,19,5000,7171,0.201,0,54,0,0,0,0,85,4.0,3.06,-0.04,11.39,0.0,0.0,0.77,2.44,3.46,-1.0,-0.74,1.33,3.5,46.18,0.01,5,158,3,0,0,0,0,3674524654181666243,18,11.39,4,19,0,0,0,18
0,12,24,7,100.0,7.9,12,656,7.9,-461.43182999325506,6275.67,0,0,235,12,0,0,0,0,12,24,7,100.0,7.9,12,656,7.9,-461.43182999325506,6275.67,0,0,235,1.0,2,14,0,0,0,0,47,88.76,5.0,4.04,-0.09,17.91,0.0,0.16,0.82,2.45,3.43,-1.0,-0.67,1.21,3.5,46.83,0.1,4.61,134,3,0,12,8.96,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,2,14,5000,7331,0.209,0,47,0,0,0,0,88.76,5.0,4.04,-0.09,17.91,0.0,0.16,0.82,2.45,3.43,-1.0,-0.67,1.21,3.5,46.83,0.1,4.61,134,3,0,0,0,0,3674524654181666243,12,8.96,5,11,0,0,0,11
0,5,17,7,100.0,8.48,12,572,8.48,-297.2015864010347,5574.68,0,0,230,5,0,0,0,0,5,17,7,100.0,8.48,12,572,8.48,-297.2015864010347,5574.68,0,0,230,0,0,5,0,0,0,1,43,91.76,6.0,5.06,-0.04,14.53,0.0,0.33,0.91,2.44,3.44,-1.0,-0.61,1.21,3.48,47.65,0.06,2.97,117,3,0,5,4.27,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5000,7445,0.217,1,43,0,0,0,0,91.76,6.0,5.06,-0.04,14.53,0.0,0.33,0.91,2.44,3.44,-1.0,-0.61,1.21,3.48,47.65,0.06,2.97,117,3,0,0,0,0,3674524654181666243,5,4.27,6,13,0,0,0,13
0,1,13,3,100.0,9.22,12,505,9.22,-167.53290821699892,5239.87,0,0,224,1,0,0,0,0,1,13,3,100.0,9.22,12,505,9.22,-167.53290821699892,5239.87,0,0,224,0,0,2,0,0,0,1,40,94.76,7.0,6.0,-0.01,12.5,0.0,0.57,0.96,2.43,3.44,-1.0,-0.52,1.14,3.44,50.38,0.14,12,104,3,0,2,1.92,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5000,7534,0.196,1,40,0,0,0,0,94.76,7.0,6.0,-0.01,12.5,0.0,0.57,0.96,2.43,3.44,-1.0,-0.52,1.14,3.44,50.38,0.14,12,104,3,0,0,0,0,3674524654181666243,2,1.92,7,11,0,0,0,11
0,5,8,1,100.0,9.48,3,466,9.48,-99.72261770805413,4901.8,0,0,218,5,0,0,0,0,5,8,1,100.0,9.48,3,466,9.48,-99.72261770805413,4901.8,0,0,218,0,0,1,0,0,0,1,35,97.76,8.0,7.12,-0.05,8.33,0.0,0.55,0.98,2.43,3.39,-1.0,-0.45,1.01,3.41,51.06,0.08,8.95,96,3,0,1,1.04,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5000,7639,0.208,1,35,0,0,0,0,97.76,8.0,7.12,-0.05,8.33,0.0,0.55,0.98,2.43,3.39,-1.0,-0.45,1.01,3.41,51.06,0.08,8.95,96,3,0,0,0,0,3674524654181666243,1,1.04,8,5,0,0,0,4
0,2,6,1,100.0,9.81,4,432,9.81,-64.92221023110693,4691.1,0,0,212,2,0,0,0,0,2,6,1,100.0,9.81,4,432,9.81,-64.92221023110693,4691.1,0,0,212,0,0,0,0,0,0,1,35,100.76,9.0,8.0,-0.02,6.67,0.0,0.68,1.0,2.4,3.44,-1.0,-0.41,1.12,3.44,52.12,0.12,4.95,90,3,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,7711,0.214,1,35,0,0,0,0,100.76,9.0,8.0,-0.02,6.67,0.0,0.68,1.0,2.4,3.44,-1.0,-0.41,1.12,3.44,52.12,0.12,4.95,90,3,0,0,0,0,3674524654181666243,0,0.0,9,4,0,0,0,4
