agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,combatControlGroupToControlGroup,combatControlGroupToExperimentalGroup,combatExperimentalGroupToControlGroup,combatExperimentalGroupToExperimentalGroup,controlAgentAgingDeaths,controlAgentCombatDeaths,controlAgentDeaths,controlAgentDiseaseDeaths,controlAgentLastMoveOptimalityPercentage,controlAgentMeanTimeToLive,controlAgentStarvationDeaths,controlAgentTotalMetabolism,controlAgentWealthBurnRate,controlAgentWealthCollected,controlAgentWealthTotal,controlAgentsBorn,controlAgentsReplaced,controlCarryingCapacity,controlDiseaseEffectiveReproductionRate,controlDiseaseIncidence,controlDiseasePrevalence,controlEnvironmentWealthCreated,controlEnvironmentWealthTotal,controlGiniCoefficient,controlLargestTribe,controlLargestTribeSize,controlMaxWealth,controlMeanAge,controlMeanAgeAtDeath,controlMeanConflictHappiness,controlMeanDeathsPercentage,controlMeanFamilyHappiness,controlMeanHappiness,controlMeanHealthHappiness,controlMeanMetabolism,controlMeanMovement,controlMeanSelfishness,controlMeanSocialHappiness,controlMeanTradePrice,controlMeanVision,controlMeanWealth,controlMeanWealthHappiness,controlMinWealth,controlPopulation,controlRemainingTribes,controlSeed,controlSickAgents,controlSickAgentsPercentage,controlTimestep,controlTradeVolume,disease0AgentAgingDeaths,disease0AgentCombatDeaths,disease0AgentDeaths,disease0AgentDiseaseDeaths,disease0AgentLastMoveOptimalityPercentage,disease0AgentMeanTimeToLive,disease0AgentStarvationDeaths,disease0AgentTotalMetabolism,disease0AgentWealthBurnRate,disease0AgentWealthCollected,disease0AgentWealthTotal,disease0AgentsBorn,disease0AgentsReplaced,disease0CarryingCapacity,disease0DiseaseEffectiveReproductionRate,disease0DiseaseIncidence,disease0DiseasePrevalence,disease0EnvironmentWealthCreated,disease0EnvironmentWealthTotal,disease0GiniCoefficient,disease0LargestTribe,disease0LargestTribeSize,disease0MaxWealth,disease0MeanAge,disease0MeanAgeAtDeath,disease0MeanConflictHappiness,disease0MeanDeathsPercentage,disease0MeanFamilyHappiness,disease0MeanHappiness,disease0MeanHealthHappiness,disease0MeanMetabolism,disease0MeanMovement,disease0MeanSelfishness,disease0MeanSocialHappiness,disease0MeanTradePrice,disease0MeanVision,disease0MeanWealth,disease0MeanWealthHappiness,disease0MinWealth,disease0Population,disease0RemainingTribes,disease0Seed,disease0SickAgents,disease0SickAgentsPercentage,disease0Timestep,disease0TradeVolume,diseaseControlGroupToControlGroup,diseaseControlGroupToExperimentalGroup,diseaseEffectiveReproductionRate,diseaseExperimentalGroupToControlGroup,diseaseExperimentalGroupToExperimentalGroup,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,lendingControlGroupToControlGroup,lendingControlGroupToExperimentalGroup,lendingExperimentalGroupToControlGroup,lendingExperimentalGroupToExperimentalGroup,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,reproductionControlGroupToControlGroup,reproductionControlGroupToExperimentalGroup,reproductionExperimentalGroupToControlGroup,reproductionExperimentalGroupToExperimentalGroup,seed,sickAgents,sickAgentsPercentage,timestep,tradeControlGroupToControlGroup,tradeControlGroupToExperimentalGroup,tradeExperimentalGroupToControlGroup,tradeExperimentalGroupToExperimentalGroup,tradeVolume
0,0,0,0,100.0,7.89,0,1246,7.89,12442,12442,0,0,250,0,0,0,0,0,0,0,0,100.0,7.89,0,1246,7.89,12442,12442,0,0,250,0,1,1,0,0,0,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8576,0.132,0,84,0,0,0,0,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,0,0,0,0,4573371923393272947,1,0.4,0,0,0,0,0,0
0,25,25,0,100.0,8.03,0,1125,8.03,503.82248095852873,11088.69,0,0,249,25,0,0,0,0,25,25,0,100.0,8.03,0,1125,8.03,503.82248095852873,11088.69,0,0,249,1.0,1,2,0,0,0,0,80,81,1.0,0.28,-0.11,11.11,0.0,-0.12,0.98,2.5,3.49,-1.0,-0.91,1.22,3.52,49.28,-0.09,16.31,225,3,0,2,0.89,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,2,13576,7745,0.141,0,80,0,0,0,0,81,1.0,0.28,-0.11,11.11,0.0,-0.12,0.98,2.5,3.49,-1.0,-0.91,1.22,3.52,49.28,-0.09,16.31,225,3,0,0,0,0,4573371923393272947,2,0.89,1,45,0,0,0,43
0,23,24,2,100.0,8.26,1,989,8.26,-368.8441167969752,9940.84,0,0,247,23,0,0,0,0,23,24,2,100.0,8.26,1,989,8.26,-368.8441167969752,9940.84,0,0,247,1.0,1,1,0,0,0,0,69,80,2.0,1.21,-0.11,11.94,0.0,-0.02,0.99,2.46,3.46,-1.0,-0.85,1.28,3.5,49.46,-0.05,13.31,201,3,0,1,0.5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,1,5000,7356,0.148,0,69,0,0,0,0,80,2.0,1.21,-0.11,11.94,0.0,-0.02,0.99,2.46,3.46,-1.0,-0.85,1.28,3.5,49.46,-0.05,13.31,201,3,0,0,0,0,4573371923393272947,1,0.5,2,24,0,0,0,21
0,16,18,0,100.0,8.62,2,896,8.62,-247.26104771815818,9024.43,0,0,244,16,0,0,0,0,16,18,0,100.0,8.62,2,896,8.62,-247.26104771815818,9024.43,0,0,244,1.0,1,2,0,0,0,0,63,82.34,3.0,2.17,-0.09,9.84,0.0,0.05,0.98,2.45,3.43,-1.0,-0.78,1.36,3.49,49.31,-0.06,15.9,183,3,0,2,1.09,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,2,5000,7211,0.159,0,63,0,0,0,0,82.34,3.0,2.17,-0.09,9.84,0.0,0.05,0.98,2.45,3.43,-1.0,-0.78,1.36,3.49,49.31,-0.06,15.9,183,3,0,0,0,0,4573371923393272947,2,1.09,3,19,0,0,0,19
0,12,14,0,100.0,8.72,2,825,8.72,-234.4169665139256,8331.0,0,0,241,12,0,0,0,0,12,14,0,100.0,8.72,2,825,8.72,-234.4169665139256,8331.0,0,0,241,1.0,1,3,0,0,0,0,60,83.88,4.0,3.07,-0.07,8.28,0.0,0.18,0.96,2.44,3.46,-1.0,-0.72,1.32,3.51,49.3,0.01,13.9,169,3,0,3,1.78,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,3,5000,7212,0.172,0,60,0,0,0,0,83.88,4.0,3.07,-0.07,8.28,0.0,0.18,0.96,2.44,3.46,-1.0,-0.72,1.32,3.51,49.3,0.01,13.9,169,3,0,0,0,0,4573371923393272947,3,1.78,4,14,0,0,0,14
0,10,17,2,100.0,9.17,7,739,9.17,-197.02917321411795,7582.97,0,0,237,10,0,0,0,0,10,17,2,100.0,9.17,7,739,9.17,-197.02917321411795,7582.97,0,0,237,1.0,1,2,0,0,0,0,54,88.22,5.0,4.18,-0.07,11.18,0.0,0.32,0.97,2.43,3.39,-1.0,-0.64,1.4,3.53,49.89,0.05,9.21,152,3,0,2,1.32,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,2,5000,7265,0.182,0,54,0,0,0,0,88.22,5.0,4.18,-0.07,11.18,0.0,0.32,0.97,2.43,3.39,-1.0,-0.64,1.4,3.53,49.89,0.05,9.21,152,3,0,0,0,0,4573371923393272947,2,1.32,5,22,0,0,0,21
0,12,20,2,100.0,9.65,8,634,9.65,-165.6514436110533,6787.44,0,0,232,12,0,0,0,0,12,20,2,100.0,9.65,8,634,9.65,-165.6514436110533,6787.44,0,0,232,1.0,1,1,0,0,0,0,46,91.22,6.0,5.1,-0.09,15.15,0.0,0.45,0.98,2.4,3.3,-1.0,-0.59,1.3,3.66,51.42,0.14,15.24,132,3,0,1,0.76,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,1,5000,7363,0.186,0,46,0,0,0,0,91.22,6.0,5.1,-0.09,15.15,0.0,0.45,0.98,2.4,3.3,-1.0,-0.59,1.3,3.66,51.42,0.14,15.24,132,3,0,0,0,0,4573371923393272947,1,0.76,6,11,0,0,0,11
0,5,6,0,100.0,9.81,1,603,9.81,-95.42482548175087,6473.38,0,0,227,5,0,0,0,0,5,6,0,100.0,9.81,1,603,9.81,-95.42482548175087,6473.38,0,0,227,1.0,1,2,0,0,0,0,45,95.22,7.0,6.0,-0.04,4.76,0.0,0.47,0.97,2.39,3.29,-1.0,-0.54,1.2,3.67,51.38,0.09,9.9,126,3,0,2,1.59,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,1,2,5000,7441,0.205,0,45,0,0,0,0,95.22,7.0,6.0,-0.04,4.76,0.0,0.47,0.97,2.39,3.29,-1.0,-0.54,1.2,3.67,51.38,0.09,9.9,126,3,0,0,0,0,4573371923393272947,2,1.59,7,9,0,0,0,9
0,5,10,2,100.0,10.24,5,552,10.24,-87.03552779595069,6078.49,0,0,222,5,0,0,0,0,5,10,2,100.0,10.24,5,552,10.24,-87.03552779595069,6078.49,0,0,222,1.0,1,1,0,0,0,1,41,100.14,8.0,7.0,-0.04,8.62,0.0,0.6,0.98,2.38,3.27,-1.0,-0.46,1.32,3.73,52.4,0.12,3.9,116,3,0,1,0.86,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,1,5000,7489,0.215,1,41,0,0,0,0,100.14,8.0,7.0,-0.04,8.62,0.0,0.6,0.98,2.38,3.27,-1.0,-0.46,1.32,3.73,52.4,0.12,3.9,116,3,0,0,0,0,4573371923393272947,1,0.86,8,13,0,0,0,13
0,4,7,0,100.0,10.61,3,514,10.61,-58.32938034976104,5810.17,0,0,217,4,0,0,0,0,4,7,0,100.0,10.61,3,514,10.61,-58.32938034976104,5810.17,0,0,217,1.0,1,2,0,0,0,0,39,104.14,9.0,8.14,-0.04,6.42,0.0,0.67,0.98,2.36,3.28,-1.0,-0.39,1.3,3.75,53.3,0.11,6,109,3,0,1,0.92,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,2,5000,7532,0.225,0,39,0,0,0,0,104.14,9.0,8.14,-0.04,6.42,0.0,0.67,0.98,2.36,3.28,-1.0,-0.39,1.3,3.75,53.3,0.11,6,109,3,0,0,0,0,4573371923393272947,1,0.92,9,8,0,0,0,8
